YgbI
AtoC
KdpE
YhaJ
BirA
HypT
EnvY
ModE
PgrR
DeoR
CueR
EnvR
GlpR
NadR
Zur
NanR
RclR
DicA
FabR
YfeC
RacR
PyrR
MntR
EbgR
UlaR
GatR
YidZ
