yagE
yagA
nimT
ycjR
ygbJ
nadA
pnuC
ydaW
ycjU
yhaL
yagB
ycjN
punC
cueO
YcjW
YdhB
ycjT
ycjS
mppA
yqjF
ycjO
ycjG
XynR
frmB
NimR
YebK
ycjM
ompG
ydaV
yagF
FrmR
yhaK
ydaS
frmA
ygiD
ppiC
ycjQ
