yciU
kdgT
hxpA
smg
yccU
yfcV
yehD
tehB
ynaE
ypjA
ycbV
ydfI
chaB
bdcR
rsgA
ycgY
yihM
ybaN
ybjJ
ycbU
ypdC
dgkA
priC
yfdC
mrdA
yidB
hinT
arnE
yodB
arnB
orn
elfC
yjfY
yjdP
chaA
ydhS
yehS
arnC
yfjD
intA
yigG
ybjI
yfbN
arnT
pdeG
arnD
arnF
arnA
tehA
yadN
pliG
ycjP
yfbO
yfbU
rhsD
yobD
