Sigma,Category,Bnb,Activation,Inhibition,regulato_lower,Promoter
FecI,sigma,b4293,"fecE,fecD,fecC,fecB,fecA",,fecI,fecAp
FliA,sigma,b1922,"ycgR,fliT,fliS,fliD,flxA,fliR,fliQ,fliP,fliO,fliN,fliM,fliL,flgO,flgL,flgK,ppdA,ppdB,ygdB,ppdC,recC,ynjH,trg,motR,cheW,cheA,motB,motA,fliE,cheZ,cheY,cheB,cheR,tap,tar,ves,yjcS,oppA,oppB,oppC,oppD,oppF,flgN,flgM,modC,modB,modA,yhiL,prs,ispE,lolB,fliX,fliC,fliF,fliG,fliH,fliI,fliJ,fliK,ykfI,yafW,ykfH,ykfG,yafX,ykfF,ykfB,pdeH,yecF,rdcB,rdcA,tcyJ,fliZ,fliA,aer,ygbK,tsr,hemL",,fliA,"ghrBp2,ygbKp,glmSp2,yjaHp1,alxp3,yhcFp5,yhiMp10,yecFp,hsrAp6,caiEp7,yjaAp4,yecJp4,rdcAp1,yaiIp3,tldDp7,galMp4,ybiXp2,clpSp7,hdfRp6,dxrp4,lolCp6,ykfBp2,insHp4,yhiLp,yraQp4,pgpBp8,yhcMp4,motRp,yfdPp9,yjcSp,hemLp,fliDp1,srmBp4,yqeIp8,ycaIp8,yifBp9,torTp7,dmlAp4,oppAp,rcsCp5,insHp7,ybbJp1,flgKp,ygdGp2,ubiEp4,frvRp4,ycgRp,ybdJp5,kgtPp7,ppdAp,insLp6,nudJp6,ygjQp6,cldp10,insLp5,yfeZp3,hslOp3,ybhNp5,ynjHp1,yggLp3,rdcAp2,ecop7,rsmIp6,yjgAp5,ampGp6,mpaAp4,yjhUp8,lolBp,yphBp2,ybiWp4,trpTp2,fliAp2,yecHp5,yeiRp3,ykgCp8,ykfBp1,yjgAp11,ybaYp3,fliCp,greBp8,yfiRp8,ygdRp5,rluFp6,yodBp14,yjdLp4,hemLp2,tabAp5,vesp,flgMp,rnkp7,fliEp2,cobCp6,adhPp5,flhCp3,yagGp9,ymgEp7,tarp,ppkp5,ynjFp6,yoaCp7,yihOp3,ytfIp11,nlpIp2,ybaNp9,yfeXp5,trgp,ydcFp4,yrfFp12,insLp5,yncDp11,ybfAp8,modAp1,caiEp3,purDp1,ynjHp2,yfaDp5,rrfFp2,pyrEp4,aspTp1,yedVp6,yjgAp9,flxAp,dcrBp8,fliFp2,rhtCp2,ymdAp9,hemLp1,fliLp2,tsrp2,ispFp2,pbpCp1,chbGp5,yceIp5,prcp1,pflDp4,yjcOp3,trpAp8,ybaMp3,aerp,slyDp5,nudEp9,rtcAp6,rsmDp11,glcAp12,ycfDp5,yhjHp,fryAp6"
