Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Effectors
DNA-binding transcriptional repressor ExuR,ExuR,exuR,b3094,exuR,TF,&alpha;-D-galacturonate // &alpha;-D-glucuronate
DNA-binding transcriptional repressor FabR,FabR,fabR,b3963,fabR,TF,
DNA-binding transcriptional dual regulator FadR,FadR,fadR,b1187,fadR,TF,an acyl-CoA
DNA-binding transcriptional activator FeaR,FeaR,feaR,b1384,feaR,TF,
FhlA-formate DNA-binding transcriptional activator,FhlA,fhlA,b2731,fhlA,TF,formate
LuxR family transcriptional regulator FimZ,FimZ,fimZ,b0535,fimZ,TF,
DNA-binding transcriptional dual regulator Fis,Fis,fis,b3261,fis,TF,
FlhDC DNA-binding transcriptional dual regulator,FlhDC,"flhD,flhC","b1892,b1891","flhD,flhC",TF,
DNA-binding transcriptional regulator FliZ,FliZ,fliZ,b1921,fliZ,TF,
DNA-binding transcriptional dual regulator FNR,Fnr,fnr,b1334,fnr,TF,
DNA-binding transcriptional repressor FrlR,FrlR,frlR,b3375,frlR,TF,<i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine
DNA-binding transcriptional repressor FrmR,FrmR,frmR,b0357,frmR,TF,formaldehyde
FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator,FucR,fucR,b2805,fucR,TF,L-fuculose 1-phosphate
Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,Fur,fur,b0683,fur,TF,Fe<sup>2+</sup>
DNA-binding transcriptional activator GadE,GadE,gadE,b3512,gadE,TF,
GadE-RcsB DNA-binding transcriptional activator,GadE-RcsB,"rcsB,gadE","b2217,b3512","rcsB,gadE",TF,
DNA-binding transcriptional dual regulator GadW,GadW,gadW,b3515,gadW,TF,
DNA-binding transcriptional dual regulator GadX,GadX,gadX,b3516,gadX,TF,
DNA-binding transcriptional dual regulator GalR,GalR,galR,b2837,galR,TF,D-galactose
DNA-binding transcriptional dual regulator GalS,GalS,galS,b2151,galS,TF,D-galactose
DNA-binding transcriptional dual regulator GcvA,GcvA,gcvA,b2808,gcvA,TF,glycine
DNA-binding transcriptional repressor GlaR,GlaR,glaR,b2664,glaR,TF,glutarate
GlcC-glycolate DNA-binding transcriptional dual regulator,GlcC,glcC,b2980,glcC,TF,glycolate
DNA-binding transcriptional activator GlrR-phosphorylated,GlrR,glrR,b2554,glrR,TF,phosphate
DNA-binding transcriptional repressor GntR,GntR,gntR,b3438,gntR,TF,D-gluconate
DNA-binding transcriptional activator GutM,GutM,gutM,b2706,gutM,TF,
DNA-binding transcriptional dual regulator H-NS,H-NS,hns,b1237,hns,TF,
DNA-binding transcriptional dual regulator HcaR,HcaR,hcaR,b2537,hcaR,TF,3-phenylpropanoate
DNA-binding transcriptional dual regulator HdfR,HdfR,hdfR,b4480,hdfR,TF,
antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,HicB,hicB,b1438,hicB,TF,
antitoxin/DNA-binding transcriptional repressor HigA,HigA,higA,b3082,higA,TF,
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,HigBA,"higA,higB","b3082,b3083","higA,higB",TF,
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,HipAB,"hipB,hipA","b1508,b1507","hipB,hipA",TF,
antitoxin/DNA-binding transcriptional repressor HipB,HipB,hipB,b1508,hipB,TF,
DNA-binding transcriptional dual regulator HprR-phosphorylated,HprR,hprR,b1969,hprR,TF,phosphate
DNA-binding transcriptional dual regulator HU,HU,"hupA,hupB","b4000,b0440","hupA,hupB",TF,
DNA-binding transcriptional activator HyfR,HyfR,hyfR,b2491,hyfR,TF,
HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,HypT,hypT,b4327,hypT,TF,
IclR-pyruvate DNA-binding transcriptional repressor,IclR,iclR,b4018,iclR,TF,pyruvate
DNA-binding transcriptional dual regulator IdnR,IdnR,idnR,b4264,idnR,TF,5-dehydro-D-gluconate
DNA-binding transcriptional dual regulator IHF,IHF,"ihfA,ihfB","b1712,b0912","ihfA,ihfB",TF,
DNA-binding transcriptional dual regulator IlvY,IlvY,ilvY,b3773,ilvY,TF,(<i>S</i>)-2-acetolactate
