Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
manually_add_DksA,DksA,dksA,b0145,dksA,TF,"idlP,ytiD,ytiC,iraD,argX,hisR,leuT,proM,obgE,yhbE,rpmA,rplU,mutM,rpmG,rpmB,rpsI,rplM,rplY,fadR,fabH,fabD,fabG,rrfB,rrlB,gltT,rrsB,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfE,rrlE,gltV,rrsE,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfC,rrlC,gltU,rrsC,rpsU,dnaG,rpoD,rpoZ,spoT,trmH,recG,ihfA,pheT,pheS,pheM,rplT,rpmI,infC,thrS,rpsT,rplS,trmD,rimM,rpsP,ihfB,rpsA,tufA,fusA,rpsG,rpsL,rplQ,rpoA,rpsD,rpsK,rpsM,rpoC,rpoB,rplL,rplJ,rplA,rplK,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,gluQ,dksA,folK,pcnB,dusB,fis,rrfA,rrlA,alaT,ileT,rrsA,rpmJ,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsN,rplE,rplX,rplN,isrC,flu,sgrT,setA,sgrS,hmp,sgrR,sroA,thiB,thiP,thiQ,argX,hisR,leuT,proM,csrA,tktB,talA,hlyE,rpoE,rpoS,dsrA,iraP,rybB,rseC,rseB,rseA,csrC,csrB,fimB,hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI,thrL,thrA,thrB,thrC,livJ,argI","b4722,b4721,b4720,b4326,b3796,b3797,b3798,b3799,b3183,b3184,b3185,b3186,b3635,b3636,b3637,b3230,b3231,b2185,b1187,b1091,b1092,b1093,b3971,b3970,b3969,b3968,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b4010,b4009,b4008,b4007,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b3759,b3758,b3757,b3756,b3065,b3066,b3067,b3649,b3650,b3651,b3652,b1712,b1713,b1714,b1715,b1716,b1717,b1718,b1719,b0023,b2606,b2607,b2608,b2609,b0912,b0911,b3339,b3340,b3341,b3342,b3294,b3295,b3296,b3297,b3298,b3988,b3987,b3986,b3985,b3984,b3983,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b0144,b0145,b0142,b0143,b3260,b3261,b3855,b3854,b3853,b3852,b3851,b3299,b3300,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310,b4435,b2000,b4662,b0070,b4577,b2552,b0069,b4762,b0068,b0067,b0066,b3796,b3797,b3798,b3799,b2696,b2465,b2464,b1182,b2573,b2741,b1954,b0382,b4417,b2570,b2571,b2572,b4457,b4408,b4312,b2018,b2019,b2020,b2021,b2022,b2023,b2024,b2025,b2026,b0001,b0002,b0003,b0004,b3460,b4254","idlP,ytiD,ytiC,iraD,argX,hisR,leuT,proM,obgE,yhbE,rpmA,rplU,mutM,rpmG,rpmB,rpsI,rplM,rplY,fadR,fabH,fabD,fabG,rrfB,rrlB,gltT,rrsB,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfE,rrlE,gltV,rrsE,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfC,rrlC,gltU,rrsC,rpsU,dnaG,rpoD,rpoZ,spoT,trmH,recG,ihfA,pheT,pheS,pheM,rplT,rpmI,infC,thrS,rpsT,rplS,trmD,rimM,rpsP,ihfB,rpsA,tufA,fusA,rpsG,rpsL,rplQ,rpoA,rpsD,rpsK,rpsM,rpoC,rpoB,rplL,rplJ,rplA,rplK,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,gluQ,dksA,folK,pcnB,dusB,fis,rrfA,rrlA,alaT,ileT,rrsA,rpmJ,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsN,rplE,rplX,rplN","b4722,b4721,b4720,b4326,b3796,b3797,b3798,b3799,b3183,b3184,b3185,b3186,b3635,b3636,b3637,b3230,b3231,b2185,b1187,b1091,b1092,b1093,b3971,b3970,b3969,b3968,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b4010,b4009,b4008,b4007,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b3759,b3758,b3757,b3756,b3065,b3066,b3067,b3649,b3650,b3651,b3652,b1712,b1713,b1714,b1715,b1716,b1717,b1718,b1719,b0023,b2606,b2607,b2608,b2609,b0912,b0911,b3339,b3340,b3341,b3342,b3294,b3295,b3296,b3297,b3298,b3988,b3987,b3986,b3985,b3984,b3983,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b0144,b0145,b0142,b0143,b3260,b3261,b3855,b3854,b3853,b3852,b3851,b3299,b3300,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310","isrC,flu,sgrT,setA,sgrS,hmp,sgrR,sroA,thiB,thiP,thiQ,argX,hisR,leuT,proM,csrA,tktB,talA,hlyE,rpoE,rpoS,dsrA,iraP,rybB,rseC,rseB,rseA,csrC,csrB,fimB,hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI,thrL,thrA,thrB,thrC,livJ,argI","b4435,b2000,b4662,b0070,b4577,b2552,b0069,b4762,b0068,b0067,b0066,b3796,b3797,b3798,b3799,b2696,b2465,b2464,b1182,b2573,b2741,b1954,b0382,b4417,b2570,b2571,b2572,b4457,b4408,b4312,b2018,b2019,b2020,b2021,b2022,b2023,b2024,b2025,b2026,b0001,b0002,b0003,b0004,b3460,b4254"
DNA-binding transcriptional dual regulator YeiE,YeiE,yeiE,b2157,yeiE,TF,"yibQ,mdtF,argO,cysJ,ftp,ydcT,putA,ssuA,pflB,infA,dcuC,gltF,yoaC,sodC,uspF","b3614,b3514,b2923,b2764,b2214,b1441,b1014,b0936,b0903,b0884,b0621,b3214,b1810,b1646,b1376","yibQ,mdtF,argO,cysJ,ftp,ydcT,putA,ssuA,pflB,infA,dcuC","b3614,b3514,b2923,b2764,b2214,b1441,b1014,b0936,b0903,b0884,b0621","gltF,yoaC,sodC,uspF","b3214,b1810,b1646,b1376"
DNA-binding transcriptional dual regulator YieP,YieP,yieP,b3755,yieP,TF,"yohJ,dauA,cusA,ykgE,ybiX","b2141,b1206,b0575,b0306,b0804","yohJ,dauA,cusA,ykgE","b2141,b1206,b0575,b0306",ybiX,b0804
DNA-binding transcriptional repressor GlpR,GlpR,glpR,b3423,glpR,TF,"glpT,glpQ,glpA,glpB,glpC,glpD,glpF,glpK,glpX","b2240,b2239,b2241,b2242,b2243,b3426,b3927,b3926,b3925","glpT,glpQ,glpA,glpB,glpC,glpD,glpF,glpK,glpX","b2240,b2239,b2241,b2242,b2243,b3426,b3927,b3926,b3925",,
