Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional repressor GlaR,GlaR,glaR,b2664,glaR,TF,"zraR,ypdC,yobD,ynjH,yjjQ,yjjP,yjdP,yihM,yihD,yigG,yhcD,ygiW,yfiR,dgcN,yfiL,yfdV,yfcV,yfcO,yfbU,hxpA,yfbO,yfbN,yehS,yehD,yeaE,ydfK,ydeO,ycjP,yciU,ychQ,ycgY,ycgJ,yccT,ycbV,ycbU,ttdR,ttdA,tehA,tar,tam,sgcC,safA,rssB,rpsF,rpiB,rhsD,rfbB,prmC,priC,ppx,ppiB,pliG,phoH,pdxA,pdhR,oxc,nlpA,murD,mrdA,mglA,lsrG,ldcC,kdsA,inaA,idnK,idnD,htrE,hinT,gltF,gdhA,gcvA,gadX,gadW,fhuE,elfC,dinQ,dctR,cysS,cysN,casA,cadC,bssS,bdcA,baeS,aroP,aroB,apt,alaE,chaB,chaC,yodB,ydhS,ycgV,pdeG,ydfI,ydcK,yccU,ynaE,ypjA,ygiV,yqhC,ybaN,ygjI,bdcR,yjfY,orn,rsgA,yfjD,yfdC,yadN,yehE,kdgT,chaA,smg,yidB,gabP,gabT,gabD,lhgD,glaH","b4004,b2382,b1820,b1760,b4365,b4364,b4487,b3873,b3858,b3818,b3216,b3024,b2603,b2604,b2602,b2372,b2339,b2332,b2294,b2293,b2274,b2273,b2124,b2111,b1781,b1544,b1499,b1312,b1248,b1213,b1196,b1177,b0964,b0943,b0942,b3060,b3061,b1429,b1886,b1519,b4304,b1500,b1235,b4200,b4090,b0497,b2041,b1212,b0467,b2502,b0525,b1178,b1020,b0052,b0113,b2373,b3661,b0088,b0635,b2149,b1518,b0186,b1215,b2237,b4268,b4267,b0139,b1103,b3214,b1761,b2808,b3516,b3515,b1102,b0940,b4613,b3507,b0526,b2751,b2760,b4133,b1060,b4249,b2078,b0112,b3389,b0469,b2670,b1217,b1218,b1974,b1668,b1202,b1168,b1542,b1428,b0965,b1375,b2647,b3023,b3010,b0468,b3078,b4251,b4199,b4162,b4161,b4461,b2347,b0141,b2112,b3909,b1216,b3284,b3698,b2663,b2662,b2661,b2660,b2659","zraR,yobD,ynjH,yjjQ,yjdP,yihM,yhcD,yfiR,dgcN,yfiL,yfcO,hxpA,yeaE,ycjP,yciU,ycgJ,yccT,ycbV,ycbU,ttdR,ttdA,tehA,tar,tam,sgcC,rssB,rhsD,prmC,ppx,phoH,pdxA,oxc,nlpA,mrdA,mglA,ldcC,inaA,idnK,gdhA,gcvA,gadW,fhuE,elfC,dinQ,cysS,casA,baeS,aroP,aroB,apt,chaB,chaC,ydhS,ycgV,pdeG,ydfI,ydcK,yccU,ynaE,ypjA,ygiV,yqhC,ybaN,bdcR,yjfY,rsgA,yfjD,yfdC,yehE,kdgT,chaA,gabP,gabT,gabD,lhgD,glaH","b4004,b1820,b1760,b4365,b4487,b3873,b3216,b2603,b2604,b2602,b2332,b2293,b1781,b1312,b1248,b1177,b0964,b0943,b0942,b3060,b3061,b1429,b1886,b1519,b4304,b1235,b0497,b1212,b2502,b1020,b0052,b2373,b3661,b0635,b2149,b0186,b2237,b4268,b1761,b2808,b3515,b1102,b0940,b4613,b0526,b2760,b2078,b0112,b3389,b0469,b1217,b1218,b1668,b1202,b1168,b1542,b1428,b0965,b1375,b2647,b3023,b3010,b0468,b4251,b4199,b4161,b4461,b2347,b2112,b3909,b1216,b2663,b2662,b2661,b2660,b2659","ypdC,yjjP,yihD,yigG,ygiW,yfdV,yfcV,yfbU,yfbO,yfbN,yehS,yehD,ydfK,ydeO,ychQ,ycgY,safA,rpsF,rpiB,rfbB,priC,ppiB,pliG,pdhR,murD,lsrG,kdsA,idnD,htrE,hinT,gltF,gadX,dctR,cysN,cadC,bssS,bdcA,alaE,yodB,ygjI,orn,yadN,smg,yidB","b2382,b4364,b3858,b3818,b3024,b2372,b2339,b2294,b2274,b2273,b2124,b2111,b1544,b1499,b1213,b1196,b1500,b4200,b4090,b2041,b0467,b0525,b1178,b0113,b0088,b1518,b1215,b4267,b0139,b1103,b3214,b3516,b3507,b2751,b4133,b1060,b4249,b2670,b1974,b3078,b4162,b0141,b3284,b3698"
DNA-binding transcriptional dual regulator TorR,TorR,torR,b0995,torR,TF,torR,b0995,"gadX,gadA,torR","b3516,b3517,b0995","gadA,slp,gadX,mdtF,mdtE,gadE,gadC,gadB,adiC,adiA,rpoS,yhiD,hdeB,hdeA,torC,torA,torD,tnaC,tnaA,tnaB","b3517,b3506,b3516,b3514,b3513,b3512,b1492,b1493,b4115,b4117,b2741,b3508,b3509,b3510,b0996,b0997,b0998,b3707,b3708,b3709"
DNA-binding transcriptional activator DcuR-phosphorylated,DcuR,dcuR,b4124,dcuR,TF,"pck,dcuA,aspA,dpiA,dpiB,frdD,frdC,frdB,frdA,fumB,dcuB,dctA","b3403,b4138,b4139,b0620,b0619,b4151,b4152,b4153,b4154,b4122,b4123,b3528",,,"pck,dcuA,aspA,dpiA,dpiB,frdD,frdC,frdB,frdA,fumB,dcuB,dctA","b3403,b4138,b4139,b0620,b0619,b4151,b4152,b4153,b4154,b4122,b4123,b3528"
DNA-binding transcriptional activator KdpE-phosphorylated,KdpE,kdpE,b0694,kdpE,TF,"kdpF,kdpC,kdpB,kdpA","b4513,b0696,b0697,b0698",,,"kdpF,kdpC,kdpB,kdpA","b4513,b0696,b0697,b0698"
GadE-RcsB DNA-binding transcriptional activator,GadE-RcsB,"rcsB,gadE","b2217,b3512","rcsB,gadE",TF,"yhiM,aslB,dctR,slp,cadA,cadB,adiC,gadX,gadA","b3491,b3800,b3507,b3506,b4131,b4132,b4115,b3516,b3517","gadX,gadA,flhC,flhD,csgG,csgF,csgE,csgD,","b3516,b3517,b1891,b1892,b1037,b1038,b1039,b1040,","rseD,rseC,rseB,rseA,rpoE,rprA,ydeO,safA,gadC,gadB,osmC,sra,bdm,gadY,hdeD,yhiD,hdeB,hdeA,rarA,lolA,osmB,ydeP,ftsZ,ftsA,ynjI,ynbD,ynbC,ynbB,ynbA,ykiA,yidL,ygiZ,yqhG,yecT,sfsB,yehF,leuO,bglB,bglF,bglG,yhiM,aslB,dctR,slp,cadA,cadB,adiC,gadX,gadA,wcaB,wcaA,wzc,wzb,wza,rcsA,yjbH,yjbG,yjbF,yjbE,yjbR,yjbQ,fliX,fliC,gadW,lpxA,fabZ,lpxD,skp,purA,gnd,gadF,mdtF,mdtE,gadE,cyoE,cyoD,cyoC,cyoB,cyoA,gltB,gltD,gltF,lrp","b4725,b2570,b2571,b2572,b2573,b4431,b1499,b1500,b1492,b1493,b1482,b1480,b1481,b4452,b3511,b3508,b3509,b3510,b0892,b0891,b1283,b1501,b0095,b0094,b1762,b1411,b1410,b1409,b1408,b0392,b3680,b3027,b3013,b1877,b3188,b2115,b0076,b3721,b3722,b3723,b3491,b3800,b3507,b3506,b4131,b4132,b4115,b3516,b3517,b2058,b2059,b2060,b2061,b2062,b1951,b4029,b4028,b4027,b4026,b4057,b4056,b4827,b1923,b3515,b0181,b0180,b0179,b0178,b4177,b2029,b4718,b3514,b3513,b3512,b0428,b0429,b0430,b0431,b0432,b3212,b3213,b3214,b0889"
RcsAB DNA-binding transcriptional dual regulator,RcsAB,"rcsB,rcsA","b2217,b1951","rcsB,rcsA",TF,"wcaB,wcaA,wzc,wzb,wza,rcsA,flhC,flhD,csgG,csgF,csgE,csgD,yjbH,yjbG,yjbF,yjbE","b2058,b2059,b2060,b2061,b2062,b1951,b1891,b1892,b1037,b1038,b1039,b1040,b4029,b4028,b4027,b4026","gadX,gadA,flhC,flhD,csgG,csgF,csgE,csgD","b3516,b3517,b1891,b1892,b1037,b1038,b1039,b1040","rseD,rseC,rseB,rseA,rpoE,rprA,ydeO,safA,gadC,gadB,osmC,sra,bdm,gadY,hdeD,yhiD,hdeB,hdeA,rarA,lolA,osmB,ydeP,ftsZ,ftsA,ynjI,ynbD,ynbC,ynbB,ynbA,ykiA,yidL,ygiZ,yqhG,yecT,sfsB,yehF,leuO,bglB,bglF,bglG,yhiM,aslB,dctR,slp,cadA,cadB,adiC,gadX,gadA,wcaB,wcaA,wzc,wzb,wza,rcsA,yjbH,yjbG,yjbF,yjbE","b4725,b2570,b2571,b2572,b2573,b4431,b1499,b1500,b1492,b1493,b1482,b1480,b1481,b4452,b3511,b3508,b3509,b3510,b0892,b0891,b1283,b1501,b0095,b0094,b1762,b1411,b1410,b1409,b1408,b0392,b3680,b3027,b3013,b1877,b3188,b2115,b0076,b3721,b3722,b3723,b3491,b3800,b3507,b3506,b4131,b4132,b4115,b3516,b3517,b2058,b2059,b2060,b2061,b2062,b1951,b4029,b4028,b4027,b4026"
DNA-binding transcriptional repressor AgaR,AgaR,agaR,b3131,agaR,TF,"agaI,agaD,agaC,agaB,kbaY,agaS,agaR,agaA,agaW,agaV,kbaZ","b3141,b3140,b3139,b3138,b3137,b3136,b3131,b3135,b3134,b3133,b3132","agaI,agaD,agaC,agaB,kbaY,agaS,agaR,agaA,agaW,agaV,kbaZ","b3141,b3140,b3139,b3138,b3137,b3136,b3131,b3135,b3134,b3133,b3132",,
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,HigBA,"higA,higB","b3082,b3083","higA,higB",TF,"higB,higA","b3083,b3082","higB,higA","b3083,b3082",,
DNA-binding transcriptional repressor PgrR,PgrR,pgrR,b1328,pgrR,TF,"mppA,tyrR,ycjF,ycjX,ycjG,mpaA,ymjC,ymjD,ycjY","b1329,b1323,b1322,b1321,b1325,b1326,b4525,b4673,b1327","mppA,tyrR,ycjF,ycjX,ycjG,mpaA,ymjC,ymjD,ycjY","b1329,b1323,b1322,b1321,b1325,b1326,b4525,b4673,b1327",,
DNA binding transcriptional dual regulator ChbR,ChbR,chbR,b1735,chbR,TF,"chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738","chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738","chbG,chbF,chbR,chbA,chbC,chbB","b1733,b1734,b1735,b1736,b1737,b1738"
