Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional dual regulator PspF,PspF,pspF,b1303,pspF,TF,"pspA,pspB,pspC,pspD,pspE","b1304,b1305,b1306,b1307,b1308",pspF,b1303,"pspH,pspG,pspA,pspB,pspC,pspD,pspE","b4758,b4050,b1304,b1305,b1306,b1307,b1308"
DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>,CueR,cueR,b0487,cueR,TF,"copA,cueO,moaA,moaB,moaC,moaD,moaE","b0484,b0123,b0781,b0782,b0783,b0784,b0785","moaA,moaB,moaC,moaD,moaE","b0781,b0782,b0783,b0784,b0785","copA,cueO","b0484,b0123"
DNA-binding transcriptional dual regulator HU,HU,"hupA,hupB","b4000,b0440","hupA,hupB",TF,"pgm,seqA,mtr,tyrP,micF,galM,galK,galT,galE","b0688,b0687,b3161,b1907,b4439,b0756,b0757,b0758,b0759","pgm,seqA,mtr,tyrP,galM,galK,galT,galE","b0688,b0687,b3161,b1907,b0756,b0757,b0758,b0759",micF,b4439
DNA-binding transcriptional repressor FrlR,FrlR,frlR,b3375,frlR,TF,"frlR,frlD,frlC,frlB,frlA","b3375,b3374,b4474,b3371,b3370","frlR,frlD,frlC,frlB,frlA","b3375,b3374,b4474,b3371,b3370",,
MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,MazE-MazF,"mazF,mazE","b2782,b2783","mazF,mazE",TF,"mazG,mazF,mazE","b2781,b2782,b2783","mazG,mazF,mazE","b2781,b2782,b2783",,
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,NadR,nadR,b4390,nadR,TF,"nadB,pncB,pnuC,nadA","b2574,b0931,b0751,b0750","nadB,pncB,pnuC,nadA","b2574,b0931,b0751,b0750",,
DNA-binding transcriptional repressor CytR,CytR,cytR,b3934,cytR,TF,"ycdZ,deoC,deoA,deoB,deoD,tsx,ppiA,nupG,rpoH,nupC,cdd,udp,cytR","b1036,b4381,b4382,b4383,b4384,b0411,b3363,b2964,b3461,b2393,b2143,b3831,b3934","ycdZ,deoC,deoA,deoB,deoD,tsx,ppiA,nupG,rpoH,nupC,cdd,udp,cytR","b1036,b4381,b4382,b4383,b4384,b0411,b3363,b2964,b3461,b2393,b2143,b3831,b3934",,
DNA-binding transcriptional dual regulator ArgR,ArgR,argR,b3237,argR,TF,"artM,artQ,artI,artP","b0861,b0862,b0863,b0864","artM,artQ,artI,artP,yfcC,ydgI,waaA,stpA,pyrL,potF,pfkB,mukE,lrp,mcaS,hisL,hchA,ftsZ,dps,dacC,cvpA,aroK,yhcC,lysO,gltB,gltD,gltF,argA,argG,artJ,hisP,hisM,hisQ,hisJ,argD,pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY,carA,carB,argR,argI,argF,argE,argC,argB,argH","b0861,b0862,b0863,b0864,b2298,b1605,b3633,b2669,b4246,b0854,b1723,b0923,b0889,b4426,b2018,b1967,b0095,b0812,b0839,b2313,b3390,b3211,b0874,b3212,b3213,b3214,b2818,b3172,b0860,b2306,b2307,b2308,b2309,b3359,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b0032,b0033,b3237,b4254,b0273,b3957,b3958,b3959,b3960","yraQ,ykgA,yffB,yaaU,puuB,gltP,eutS,aroP,astE,astB,astD,astA,astC","b3151,b0300,b2471,b0045,b1301,b4077,b2462,b0112,b1744,b1745,b1746,b1747,b1748"
DNA-binding transcriptional dual regulator IHF,IHF,"ihfA,ihfB","b1712,b0912","ihfA,ihfB",TF,"cycA,icd,tcyJ,fliZ,fliA,csrB,rseD,rseC,rseB,rseA,rpoE,proX,proW,proV,fnr,csgG,csgF,csgE,csgD,glmY,uspB,uspA,fimB,atoB,atoD,atoA,atoE,folA,dcuD,hipA,hipB,dmsC,dmsB,dmsA,sodB,gcd,hpt,pspA,pspB,pspC,pspD,pspE,hemF,amiA,sufE,sufS,sufD,sufC,sufB,sufA,patA,sra,actP,yjcH,acs,norW,norV,ibpB,ulaG,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA,pspH,pspG,ubiC,ubiA,glcA,glcB,glcG,glcF,glcE,glcD,yeiL,ssuB,ssuC,ssuD,ssuA,ssuE,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,phoU,pstB,pstA,pstC,pstS,carA,carB,gltA,sdhX,sucA,sucB,sucC,sucD,prmC,prfA,hemA,cysH,cysI,cysJ,ndh,fhlA,hypA,hypB,hypC,hypD,hypE,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,dps,glnQ,glnP,glnH,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,dppF,dppD,dppC,dppB,dppA,flhC,flhD,sodA,mtr,tyrP,osmY,adiA,htrE,yadV,osmE,gltB,gltD,gltF,micF,pflB,focA,rpoH,rtcA,rtcB,fimD,fimH,fimG,fimF,fimC,fimI,fimA,envZ,ompR,paaZ,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,nmpC,plaR,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK,ihfB,ihfA,aceB,aceA,aceK,glpQ,glpT,dusB,fis,ompF,ompC,nirB,nirD,nirC,cysG,narS,narK,narG,narH,narJ,narI,yjbH,yjbG,yjbF,yjbE","b4208,b1136,b1920,b1921,b1922,b4408,b4725,b2570,b2571,b2572,b2573,b2679,b2678,b2677,b1334,b1037,b1038,b1039,b1040,b4441,b3494,b3495,b4312,b2224,b2221,b2222,b2223,b0048,b3227,b1507,b1508,b0896,b0895,b0894,b1656,b0124,b0125,b1304,b1305,b1306,b1307,b1308,b2436,b2435,b1679,b1680,b1681,b1682,b1683,b1684,b3073,b1480,b4067,b4068,b4069,b2711,b2710,b3686,b4192,b4198,b4197,b4196,b4195,b4194,b4193,b4758,b4050,b4039,b4040,b2975,b2976,b2977,b4467,b4468,b2979,b2163,b0933,b0934,b0935,b0936,b0937,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b3724,b3725,b3726,b3727,b3728,b0032,b0033,b0720,b4764,b0726,b0727,b0728,b0729,b1212,b1211,b1210,b2762,b2763,b2764,b1109,b2731,b2726,b2727,b2728,b2729,b2730,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b0812,b0809,b0810,b0811,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b3540,b3541,b3542,b3543,b3544,b1891,b1892,b3908,b3161,b1907,b4376,b4117,b0139,b0140,b1739,b3212,b3213,b3214,b4439,b0903,b0904,b3461,b4475,b3421,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b3404,b3405,b1387,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b0553,b3574,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575,b0912,b1712,b4014,b4015,b4016,b2239,b2240,b3260,b3261,b0929,b2215,b3365,b3366,b3367,b3368,b4813,b1223,b1224,b1225,b1226,b1227,b4029,b4028,b4027,b4026","icd,tcyJ,fliZ,fliA,rseD,rseC,rseB,rseA,rpoE,uspB,carA,carB,dmsC,dmsB,dmsA,sodB,hpt,hemF,amiA,actP,yjcH,acs,norW,norV,ulaG,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA,ubiC,ubiA,ssuB,ssuC,ssuD,ssuA,ssuE,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,sdhX,sucA,sucB,sucC,sucD,ndh,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,flhC,flhD,sodA,mtr,tyrP,osmY,osmE,micF,envZ,ompR,nmpC,plaR,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,ihfB,ihfA,glpQ,glpT,ompF,ompC,nirB,nirD,nirC,cysG","b1136,b1920,b1921,b1922,b4725,b2570,b2571,b2572,b2573,b3494,b0032,b0033,b0896,b0895,b0894,b1656,b0125,b2436,b2435,b4067,b4068,b4069,b2711,b2710,b4192,b4198,b4197,b4196,b4195,b4194,b4193,b4039,b4040,b0933,b0934,b0935,b0936,b0937,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4764,b0726,b0727,b0728,b0729,b1109,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b1891,b1892,b3908,b3161,b1907,b4376,b1739,b4439,b3404,b3405,b0553,b3574,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b0912,b1712,b2239,b2240,b0929,b2215,b3365,b3366,b3367,b3368","cycA,csrB,proX,proW,proV,fnr,csgG,csgF,csgE,csgD,glmY,uspA,fimB,atoB,atoD,atoA,atoE,folA,dcuD,hipA,hipB,gcd,pspA,pspB,pspC,pspD,pspE,sufE,sufS,sufD,sufC,sufB,sufA,sra,norW,norV,ibpB,pspH,pspG,glcA,glcB,glcG,glcF,glcE,glcD,yeiL,ssuB,ssuC,ssuD,ssuA,ssuE,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,phoU,pstB,pstA,pstC,pstS,carA,carB,gltA,prmC,prfA,hemA,cysH,cysI,cysJ,fhlA,hypA,hypB,hypC,hypD,hypE,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,dps,glnQ,glnP,glnH,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,dppF,dppD,dppC,dppB,dppA,adiA,htrE,yadV,gltB,gltD,gltF,pflB,focA,rpoH,rtcA,rtcB,fimD,fimH,fimG,fimF,fimC,fimI,fimA,paaZ,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK,aceB,aceA,aceK,dusB,fis,ompF,nirB,nirD,nirC,cysG,narS,narK,narG,narH,narJ,narI,yjbH,yjbG,yjbF,yjbE","b4208,b4408,b2679,b2678,b2677,b1334,b1037,b1038,b1039,b1040,b4441,b3495,b4312,b2224,b2221,b2222,b2223,b0048,b3227,b1507,b1508,b0124,b1304,b1305,b1306,b1307,b1308,b1679,b1680,b1681,b1682,b1683,b1684,b1480,b2711,b2710,b3686,b4758,b4050,b2975,b2976,b2977,b4467,b4468,b2979,b2163,b0933,b0934,b0935,b0936,b0937,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b3724,b3725,b3726,b3727,b3728,b0032,b0033,b0720,b1212,b1211,b1210,b2762,b2763,b2764,b2731,b2726,b2727,b2728,b2729,b2730,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b0812,b0809,b0810,b0811,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b3540,b3541,b3542,b3543,b3544,b4117,b0139,b0140,b3212,b3213,b3214,b0903,b0904,b3461,b4475,b3421,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b1387,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575,b4014,b4015,b4016,b3260,b3261,b0929,b3365,b3366,b3367,b3368,b4813,b1223,b1224,b1225,b1226,b1227,b4029,b4028,b4027,b4026"
MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,MntR,mntR,b0817,mntR,TF,"dps,rybA,mntS,mntP,mntH","b0812,b4416,b4705,b1821,b2392","dps,rybA,mntS,mntH","b0812,b4416,b4705,b2392",mntP,b1821
DNA-binding transcriptional repressor PuuR,PuuR,puuR,b1299,puuR,TF,"ymjE,puuP,puuA,puuE,puuB,puuC,puuR,puuD","b4742,b1296,b1297,b1302,b1301,b1300,b1299,b1298","ymjE,puuP,puuA,puuE,puuB,puuC,puuR,puuD","b4742,b1296,b1297,b1302,b1301,b1300,b1299,b1298",,
DNA-binding transcriptional dual regulator MurR,MurR,murR,b2427,murR,TF,"murR,murP,murQ","b2427,b2429,b2428","murR,murP,murQ","b2427,b2429,b2428",murR,b2427
DNA-binding transcriptional repressor DeoR,DeoR,deoR,b0840,deoR,TF,"tsx,nupG,deoC,deoA,deoB,deoD","b0411,b2964,b4381,b4382,b4383,b4384","tsx,nupG,deoC,deoA,deoB,deoD","b0411,b2964,b4381,b4382,b4383,b4384",,
DNA-binding transcriptional repressor ComR,ComR,comR,b1111,comR,TF,bhsA,b1112,bhsA,b1112,,
DNA-binding transcriptional dual regulator DhaR,DhaR,dhaR,b1201,dhaR,TF,"dhaM,dhaL,dhaK,dhaR","b1198,b1199,b1200,b1201",dhaR,b1201,"dhaM,dhaL,dhaK","b1198,b1199,b1200"
DNA-binding transcriptional repressor EbgR,EbgR,ebgR,b3075,ebgR,TF,"ebgA,ebgC","b3076,b3077","ebgA,ebgC","b3076,b3077",,
DNA-binding transcriptional activator RtcR,RtcR,rtcR,b3422,rtcR,TF,"rtcA,rtcB","b4475,b3421",,,"rtcA,rtcB","b4475,b3421"
DNA-binding transcriptional dual regulator CecR,CecR,cecR,b0796,cecR,TF,"rhlE,cecR,ybhG,ybhF,ybhS,ybhR","b0797,b0796,b0795,b0794,b0793,b0792","cecR,ybhG,ybhF,ybhS,ybhR","b0796,b0795,b0794,b0793,b0792",rhlE,b0797
DNA-binding transcriptional dual regulator IlvY,IlvY,ilvY,b3773,ilvY,TF,ilvY,b3773,ilvY,b3773,ilvC,b3774
DNA-binding transcriptional dual regulator NagC,NagC,nagC,b0676,nagC,TF,"ydeM,ydeN,feoC,feoA,feoB,eutS,eutP,eutQ,eutT,eutD,eutM,ydeP,dinI,creA,creB,creC,creD,ptsH,ptsI,crr,chiZ,chiQ,chiP,galP,fimB,nagE,nanS,nanM,nanC,manX,manY,manZ,glmS,glmU,chbG,chbF,chbR,chbA,chbC,chbB,umpH,nagC,nagA,nagB","b1497,b1498,b3410,b3408,b3409,b2462,b2461,b2460,b2459,b2458,b2457,b1501,b1061,b4397,b4398,b4399,b4400,b2415,b2416,b2417,b4808,b0682,b0681,b2943,b4312,b0679,b4309,b4310,b4311,b1817,b1818,b1819,b3729,b3730,b1733,b1734,b1735,b1736,b1737,b1738,b0675,b0676,b0677,b0678","ydeM,ydeN,ydeP,dinI,creA,creB,creC,creD,ptsH,ptsI,crr,chiZ,chiQ,chiP,galP,nagE,nanS,nanM,nanC,manX,manY,manZ,glmS,glmU,chbG,chbF,chbR,chbA,chbC,chbB,umpH,nagC,nagA,nagB","b1497,b1498,b1501,b1061,b4397,b4398,b4399,b4400,b2415,b2416,b2417,b4808,b0682,b0681,b2943,b0679,b4309,b4310,b4311,b1817,b1818,b1819,b3729,b3730,b1733,b1734,b1735,b1736,b1737,b1738,b0675,b0676,b0677,b0678","fimB,glmS,glmU","b4312,b3729,b3730"
DNA-binding transcriptional repressor BluR,BluR,bluR,b1162,bluR,TF,"ymgC,ariR,ymgA,ycgZ","b1167,b1166,b1165,b1164","ymgC,ariR,ymgA,ycgZ","b1167,b1166,b1165,b1164",,
DNA-binding transcriptional dual regulator SoxS,SoxS,soxS,b4062,soxS,TF,"cadA,ompW,nepI,yrbL,decR,aldA,yhbW,mdaB,map,glnD,dapD,ompN,ydbK,acrZ,rob,nfsB,acnA,waaZ,waaY,ygiC,ygiB,tolC,pgi,ptsG,zinT,fldA,uof,fur,ybjN,rimK,nfsA,ybjC,inaA,fldB,ribA,zwf,soxS,marR,marA,marB,fumC,sodA,micF,nfo,fpr,pqiC,pqiB,pqiA,poxB,acrA,acrB","b4131,b1256,b3662,b3207,b0447,b1415,b3160,b3028,b0168,b0167,b0166,b1377,b1378,b0762,b4396,b0578,b1276,b3624,b3625,b3038,b3037,b3035,b4025,b1101,b1973,b0684,b4637,b0683,b0853,b0852,b0851,b0850,b2237,b2895,b1277,b1852,b4062,b1530,b1531,b1532,b1611,b3908,b4439,b2159,b3924,b0952,b0951,b0950,b0871,b0463,b0462","ompW,rob,soxS","b1256,b4396,b4062","cadA,nepI,yrbL,decR,aldA,yhbW,mdaB,map,glnD,dapD,ompN,ydbK,acrZ,nfsB,acnA,waaZ,waaY,ygiC,ygiB,tolC,pgi,ptsG,zinT,fldA,uof,fur,ybjN,rimK,nfsA,ybjC,inaA,fldB,ribA,zwf,marR,marA,marB,fumC,sodA,micF,nfo,fpr,pqiC,pqiB,pqiA,poxB,acrA,acrB","b4131,b3662,b3207,b0447,b1415,b3160,b3028,b0168,b0167,b0166,b1377,b1378,b0762,b0578,b1276,b3624,b3625,b3038,b3037,b3035,b4025,b1101,b1973,b0684,b4637,b0683,b0853,b0852,b0851,b0850,b2237,b2895,b1277,b1852,b1530,b1531,b1532,b1611,b3908,b4439,b2159,b3924,b0952,b0951,b0950,b0871,b0463,b0462"
DNA-binding transcriptional dual regulator CsgD,CsgD,csgD,b1040,csgD,TF,"tcyJ,fliZ,fliA,flgN,flgM,wrbA,yccJ,nlpA,yccT,fliE,fliK,fliJ,fliI,fliH,fliG,fliF,yhbS,ubiT,iraP,dgcC,pepD,csgG,csgF,csgE,csgD,csgC,csgB,csgA","b1920,b1921,b1922,b1070,b1071,b1004,b1003,b3661,b0964,b1937,b1943,b1942,b1941,b1940,b1939,b1938,b3156,b3157,b0382,b0385,b0237,b1037,b1038,b1039,b1040,b1043,b1041,b1042","tcyJ,fliZ,fliA,flgN,flgM,fliE,fliK,fliJ,fliI,fliH,fliG,fliF,yhbS,ubiT,pepD","b1920,b1921,b1922,b1070,b1071,b1937,b1943,b1942,b1941,b1940,b1939,b1938,b3156,b3157,b0237","wrbA,yccJ,nlpA,yccT,iraP,dgcC,csgG,csgF,csgE,csgD,csgC,csgB,csgA","b1004,b1003,b3661,b0964,b0382,b0385,b1037,b1038,b1039,b1040,b1043,b1041,b1042"
DNA-binding transcriptional repressor RcnR,RcnR,rcnR,b2105,rcnR,TF,"rcnR,rcnB,rcnA","b2105,b2107,b2106","rcnR,rcnB,rcnA","b2105,b2107,b2106",,
DNA-binding transcriptional dual regulator LldR,LldR,lldR,b3604,lldR,TF,"lldD,lldR,lldP","b3605,b3604,b3603","lldD,lldR,lldP","b3605,b3604,b3603","lldD,lldR,lldP","b3605,b3604,b3603"
DNA-binding transcriptional dual regulator SutR,SutR,sutR,b1434,sutR,TF,"ypfN,pfkB,cysE,tcyJ,fliZ,fliA,ydcO,sutR","b4547,b1723,b3607,b1920,b1921,b1922,b1433,b1434","pfkB,cysE,tcyJ,fliZ,fliA,ydcO,sutR","b1723,b3607,b1920,b1921,b1922,b1433,b1434","ypfN,sutR","b4547,b1434"
DNA-binding transcriptional dual regulator McbR,McbR,mcbR,b1450,mcbR,TF,"rmf,rsd,yciE,yciF,yciG,mcbA","b0953,b3995,b1257,b1258,b1259,b0806",mcbA,b0806,"rmf,rsd,yciE,yciF,yciG","b0953,b3995,b1257,b1258,b1259"
antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,HicB,hicB,b1438,hicB,TF,"hicB,hicA","b1438,b4532","hicB,hicA","b1438,b4532",,
DNA-binding transcriptional dual regulator NorR,NorR,norR,b2709,norR,TF,"norR,norW,norV","b2709,b2711,b2710",norR,b2709,"norW,norV","b2711,b2710"
DNA-binding transcriptional dual regulator OxyR,OxyR,oxyR,b3961,oxyR,TF,"xthA,hemF,elaB,yjjZ,metE,metR,zinT,znuA,znuB,znuC,ychF,poxB,hcr,hcp,oxyS,oxyR,ybjN,rimK,nfsA,ybjC,gntP,uxuB,uxuA,dsbG,mntH,fhuF,gor,uof,fur,trxC,isrC,flu,sufE,sufS,sufD,sufC,sufB,sufA,dps,ahpC,ahpF,ccp,grxA,katG,hemH","b1749,b2436,b2266,b4567,b3829,b3828,b1973,b1857,b1859,b1858,b1203,b0871,b0872,b0873,b4458,b3961,b0853,b0852,b0851,b0850,b4321,b4323,b4322,b0604,b2392,b4367,b3500,b4637,b0683,b2582,b4435,b2000,b1679,b1680,b1681,b1682,b1683,b1684,b0812,b0605,b0606,b3518,b0849,b3942,b0475","elaB,ychF,oxyR,ybjN,rimK,nfsA,ybjC,gntP,uxuB,uxuA,fhuF,isrC,flu","b2266,b1203,b3961,b0853,b0852,b0851,b0850,b4321,b4323,b4322,b4367,b4435,b2000","xthA,hemF,elaB,yjjZ,metE,metR,zinT,znuA,znuB,znuC,poxB,hcr,hcp,oxyS,dsbG,mntH,gor,uof,fur,trxC,sufE,sufS,sufD,sufC,sufB,sufA,dps,ahpC,ahpF,ccp,grxA,katG,hemH","b1749,b2436,b2266,b4567,b3829,b3828,b1973,b1857,b1859,b1858,b0871,b0872,b0873,b4458,b0604,b2392,b3500,b4637,b0683,b2582,b1679,b1680,b1681,b1682,b1683,b1684,b0812,b0605,b0606,b3518,b0849,b3942,b0475"
DNA-binding transcriptional repressor YgbI,YgbI,ygbI,b2735,ygbI,TF,"ygbK,ygbJ","b2737,b2736","ygbK,ygbJ","b2737,b2736",,
