"label","Pathway_ID","Pathway_name","size","Bnb","DMenv","DMevo","DMmut","label.sel"
11,"eco00020","Citrate cycle (TCA cycle)",24,"b0114,b0115,b0116,b0118,b0720,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0771,b1136,b1675,b2210,b2929,b3236,b3403,b4151,b4152,b4153,b4154",0.522565578052805,0.130733308916654,0.242177380891075,"11"
12,"eco00030","Pentose phosphate pathway",22,"b0008,b0124,b0767,b1850,b1851,b1852,b2029,b2097,b2465,b2914,b2925,b2935,b3386,b3437,b3526,b3553,b3916,b3925,b4025,b4232,b4381,b4383",0.125714762188362,0.0305524819926826,0.284852084890641,""
13,"eco00040","Pentose and glucuronate interconversions",24,"b0061,b0062,b0063,b0772,b1236,b1542,b2028,b2042,b2800,b2803,b2842,b2843,b3091,b3092,b3386,b3564,b3565,b3902,b3904,b4196,b4197,b4198,b4322,b4323",-0.0665824147598058,0.0410533848019229,0.0335526015983373,""
14,"eco00051","Fructose and mannose metabolism",27,"b0394,b1613,b1727,b1817,b1818,b1819,b2097,b2167,b2168,b2293,b2703,b2704,b2705,b2800,b2803,b2925,b2933,b3565,b3599,b3600,b3902,b3903,b3904,b3916,b3919,b3925,b4232",0.241929809728995,0.189042369312256,0.0790315444833035,""
15,"eco00052","Galactose metabolism",17,"b0403,b0756,b0758,b0759,b1236,b2042,b2091,b2093,b2095,b2096,b2388,b3076,b3077,b3132,b3133,b3916,b4119",0.31777452127524,0.639707324442327,0.400047847592754,"15"
16,"eco00053","Ascorbate and aldarate metabolism",11,"b0061,b2028,b3126,b3128,b4192,b4193,b4194,b4195,b4196,b4197,b4198",-0.0385126733843256,0.267537327751987,0.217229497085857,""
17,"eco00500","Starch and sucrose metabolism",25,"b0394,b0403,b1197,b1236,b1734,b1736,b1738,b1896,b1897,b1927,b2042,b2132,b2388,b2417,b2901,b3416,b3417,b3429,b3430,b3431,b3432,b3519,b3571,b4025,b4239",0.144098766106721,0.0552796476887872,0.0872177032809806,""
18,"eco00520","Amino sugar and nucleotide sugar metabolism",36,"b0394,b0677,b0678,b0679,b0758,b0759,b1107,b1119,b1236,b1613,b1640,b1817,b1818,b1819,b2028,b2042,b2253,b2254,b2255,b2256,b2388,b2417,b2428,b2429,b3176,b3189,b3222,b3223,b3225,b3430,b3729,b3730,b3786,b3787,b3972,b4025",0.0537375651556198,0.145288397445877,0.0142967836691989,""
19,"eco00620","Pyruvate metabolism",38,"b0074,b0114,b0115,b0116,b0185,b0212,b0325,b0356,b0871,b0903,b0927,b0968,b1033,b1241,b1651,b1675,b1702,b1967,b2210,b2296,b2316,b2844,b2929,b3114,b3236,b3255,b3256,b3403,b3553,b3588,b3605,b3956,b4014,b4151,b4152,b4153,b4154,b4269",0.427210945013137,0.197532307164327,0.310015833004381,""
20,"eco00630","Glyoxylate and dicarboxylate metabolism",26,"b0116,b0118,b0507,b0514,b0720,b0771,b1033,b1232,b1732,b1850,b2551,b2799,b2844,b2903,b2904,b2905,b3124,b3125,b3236,b3385,b3553,b3870,b3892,b3893,b4014,b4015",0.423510199579617,0.163240140820772,0.416314608605862,""
21,"eco00640","Propanoate metabolism",20,"b0116,b0118,b0185,b0728,b0729,b0903,b0963,b2296,b2316,b2341,b2662,b2799,b3011,b3114,b3115,b3253,b3255,b3256,b3846,b3945",0.328566905613195,0.227095011124958,0.285858712726921,""
22,"eco00650","Butanoate metabolism",21,"b0077,b0078,b0721,b0722,b0723,b0724,b0903,b1241,b2341,b2661,b2662,b2844,b3114,b3670,b3671,b3769,b3846,b4151,b4152,b4153,b4154",0.804983509021115,0.250604221385075,0.341350463486689,""
23,"eco00660","C5-Branched dibasic acid metabolism",10,"b0071,b0072,b0073,b0077,b0078,b0728,b0729,b3670,b3671,b3769",1.0550544677737,-0.0118652014342297,0.0768154684318512,""
