"label","Pathway_ID","Pathway_name","size","Bnb","DMenv","DMevo","DMmut","label.sel"
78,"eco03030","DNA replication",15,"b0183,b0184,b0214,b0640,b1099,b1842,b2411,b3066,b3647,b3701,b3863,b4052,b4059,b4259,b4372",-0.106089427879106,-0.0339366178303088,-0.098023043000298,""
79,"eco03410","Base excision repair",13,"b0714,b1633,b1749,b2068,b2411,b2580,b2892,b2961,b3068,b3549,b3635,b3647,b3863",-0.147016614279646,-0.0530281502050613,-0.0371789486429666,""
80,"eco03420","Nucleotide excision repair",6,"b0779,b2411,b3647,b3813,b3863,b4058",-0.132679943890372,-0.16663250974106,-0.105753799544001,""
81,"eco03430","Mismatch repair",20,"b0184,b0422,b0640,b1099,b1842,b1844,b2011,b2411,b2509,b2733,b2831,b2892,b3387,b3647,b3701,b3813,b4059,b4170,b4259,b4372",-0.140798549348155,-0.0657794129695431,-0.103102484533962,""
82,"eco03440","Homologous recombination",23,"b0184,b0467,b0640,b1099,b1842,b1860,b1861,b1863,b2565,b2699,b2819,b2820,b2892,b3652,b3700,b3701,b3863,b3935,b4059,b4201,b4259,b4362,b4372",-0.132994011080977,-0.048686856570735,-0.0994394043334746,""
83,"eco02010","ABC transporters",141,"b0066,b0067,b0068,b0151,b0152,b0153,b0158,b0197,b0198,b0199,b0367,b0449,b0588,b0589,b0592,b0653,b0654,b0655,b0760,b0763,b0764,b0765,b0809,b0810,b0811,b0829,b0830,b0831,b0832,b0854,b0855,b0857,b0860,b0862,b0863,b0879,b0886,b0887,b0914,b0933,b0936,b1116,b1117,b1118,b1123,b1124,b1125,b1126,b1243,b1244,b1245,b1246,b1247,b1290,b1293,b1294,b1329,b1709,b1857,b1858,b1859,b1900,b1901,b1917,b1918,b1920,b2129,b2130,b2148,b2149,b2150,b2177,b2178,b2179,b2180,b2198,b2199,b2200,b2201,b2211,b2306,b2307,b2308,b2309,b2310,b2422,b2423,b2424,b2546,b2677,b2678,b2679,b3191,b3192,b3193,b3194,b3195,b3201,b3450,b3451,b3452,b3453,b3454,b3455,b3456,b3457,b3458,b3460,b3462,b3463,b3476,b3477,b3478,b3479,b3480,b3540,b3541,b3542,b3543,b3544,b3566,b3567,b3568,b3725,b3726,b3727,b3728,b3748,b3749,b3750,b3751,b3917,b4032,b4033,b4034,b4035,b4227,b4230,b4231,b4261,b4262",0.383662860634215,0.0984722414943443,0.186482553413755,""
84,"eco02060","Phosphotransferase system (PTS)",24,"b0679,b1736,b1738,b1817,b1818,b1819,b2093,b2167,b2168,b2169,b2415,b2416,b2417,b2429,b2703,b2704,b2933,b3133,b3204,b3206,b3599,b4193,b4194,b4195",0.282324476654804,0.298508007059116,0.0676426562458889,""
85,"eco03070","Bacterial secretion system",16,"b0097,b0407,b0408,b0409,b0627,b2610,b2968,b3175,b3300,b3464,b3609,b3705,b3836,b3838,b3839,b3981",-0.107661437398031,-0.00924799546258183,-0.0661598738854328,""
86,"eco02020","Two-component system",102,"b0167,b0196,b0399,b0400,b0570,b0584,b0614,b0619,b0620,b0653,b0654,b0655,b0694,b0696,b0697,b0733,b0734,b0772,b0974,b0993,b0995,b0996,b0997,b0998,b1071,b1129,b1130,b1221,b1226,b1227,b1524,b1609,b1882,b1883,b1884,b1886,b1887,b1888,b1890,b1892,b1914,b1916,b1922,b1951,b2075,b2076,b2077,b2078,b2079,b2193,b2215,b2216,b2217,b2253,b2369,b2469,b2470,b2553,b2556,b2696,b2786,b2844,b2994,b2997,b3025,b3026,b3072,b3096,b3202,b3210,b3357,b3404,b3405,b3528,b3666,b3667,b3702,b3728,b3786,b3787,b3868,b3869,b3870,b3911,b3912,b4002,b4003,b4112,b4113,b4123,b4124,b4125,b4150,b4151,b4152,b4153,b4154,b4355,b4398,b4399,b4401,b4515",0.248089155441226,0.241249372472598,0.211582817945459,""
87,"eco02024","Quorum sensing",36,"b0407,b0414,b0694,b0754,b1243,b1244,b1245,b1246,b1247,b1277,b1329,b1805,b1892,b1916,b1951,b2556,b2601,b2610,b2687,b3025,b3026,b3175,b3300,b3357,b3454,b3455,b3456,b3457,b3458,b3460,b3464,b3609,b3705,b3981,b4046,b4172",0.31392796963714,0.0457121913379769,-0.0201252356842717,""
88,"eco02026","Biofilm formation - Escherichia coli",33,"b0145,b0385,b1040,b1042,b1071,b1194,b1341,b1892,b1914,b1916,b1922,b1951,b2067,b2216,b2217,b2417,b2479,b2687,b2696,b2741,b2786,b2808,b3210,b3357,b3404,b3405,b3417,b3429,b3430,b3525,b3806,b3961,b4401",0.242743418144112,0.205396571091133,0.0818207699912268,"88"
89,"eco02030","Bacterial chemotaxis",17,"b1881,b1882,b1883,b1884,b1886,b1887,b1888,b1889,b1890,b1939,b1945,b2150,b3072,b3544,b3751,b4034,b4355",1.61136023835303,1.34006388600932,1.19837333788246,"89"
90,"eco02040","Flagellar assembly",34,"b1070,b1071,b1072,b1073,b1074,b1075,b1076,b1077,b1079,b1080,b1081,b1083,b1878,b1879,b1880,b1889,b1890,b1892,b1920,b1922,b1925,b1926,b1937,b1938,b1939,b1940,b1942,b1943,b1945,b1947,b1948,b1950,b3067,b3202",1.46274002653867,1.18044202896465,0.0989708855074403,"90"
91,"eco01501","beta-Lactam resistance",14,"b0084,b0433,b0462,b0463,b0635,b1107,b1243,b1244,b1245,b1246,b1247,b1329,b2215,b4150",0.154617328181409,0.152653130747257,0.0987611474388883,""
92,"eco01502","Vancomycin resistance",7,"b0086,b0087,b0090,b0092,b0381,b1190,b4053",-0.0348537444208224,-0.0733978095480161,-0.105554681823583,""
93,"eco01503","Cationic antimicrobial peptide (CAMP) resistance",25,"b0181,b0192,b0462,b0463,b1129,b1130,b1290,b1293,b1294,b1531,b2253,b2254,b2255,b2256,b2258,b2259,b2435,b2817,b3546,b3911,b3912,b4112,b4113,b4169,b4544",-0.0814315906229753,0.0356856495669573,-0.0695725611826143,""
