"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"thrA","b0002",8.80268671541861,8.81531670288153,9.60267803450655,9.53731114653639,8.95329103160594,9.62265861807769,8.88420723877538,8.87690063161843,8.949295314073,9.9346146610628,7.99731873277159,9.03814762231375,7.97771835434802,9.04522171914335,9.06485299412614,9.13180901121822
"thrB","b0003",9.24331860508577,9.23105016850563,10.104665288875,9.9310888464461,9.24920780678084,9.99549886964377,9.19231580967546,9.07267966343632,9.33565989935239,10.1687020351398,8.29585285454446,9.41374607531647,8.49035972869009,9.24920780678084,9.31328626830853,9.58367268391592
"thrC","b0004",8.81730266621841,8.74900003700705,9.24696995634554,9.50799335669849,8.72938336273796,9.46777475371735,8.73388989571999,8.66539598375632,8.76253707412726,9.62809281596794,8.11327098614996,8.84269405710695,8.3721847358059,8.77672173647516,8.47129775280844,8.9418315145874
"yaaA","b0006",7.578295494381,7.50761363219782,9.12822614535646,9.08535096899858,7.39318785508944,7.85120691483006,7.34245430023666,9.00087123918323,9.20446991705217,8.97528206192155,8.11989900537397,8.06296257761116,8.01384131011358,8.95329103160594,8.74452397272509,8.7428909499962
"talB","b0008",10.9099101192902,11.0637193827367,10.7461315895531,10.6748664094886,11.1011153394019,11.4782507589178,10.9365556364136,10.7732749566049,10.5587301063701,10.1787830084076,11.4215235242774,11.0864679689652,11.1425730302219,10.6389551392358,10.5819346822201,10.4635450571173
"mog","b0009",9.1244002167319,9.04747183609872,8.55008257228022,8.56887037699991,8.84269405710695,8.77672173647516,9.07946281359828,8.27066911137097,8.04788506227728,8.46308106861558,8.949295314073,8.88420723877538,8.63704090446142,8.4329807753146,7.48053192451985,8.68764132315733
"satP","b0010",7.26376745993857,7.22600012022583,5.81642165862631,5.90971451343813,7.05827154530348,6.68464989859104,7.22422672146279,6.42165336399206,5.62704436272185,6.45858266145896,6.57794333531007,6.63126711081105,6.7046212322251,6.37403488579761,5.89394829639246,5.93252335598714
"yaaW","b0011",3.87805489618566,3.6991387098983,4.15286510598525,4.09130922265354,4.0571809729489,4.28410247583811,3.80758815137217,4.32119181541644,4.229667242413,3.79290182374283,3.1096457831058,3.91711966799666,4.16621150455991,3.97302797515863,3.79913795699497,4.11424877624436
"yaaI","b0013",3.57543653919339,3.72657450467886,3.34182054014642,3.5432425713806,3.72657450467886,3.88818270705596,4.1950908445647,4.06891239461841,3.85770577356737,4.50800886268049,4.24189544358227,4.05171556200962,3.79913795699497,3.64515936146155,4.53582100671698,3.76028811428872
"dnaK","b0014",12.5895746181113,12.6704316396613,12.184319330442,12.2815486717455,12.6315234127145,13.1781376210737,12.4448832062154,12.8075711132985,13.0745814385642,12.8887629001333,12.1145996228636,11.0571064417502,12.0682197271849,12.4326539613598,13.5004378606972,11.4133907263112
