"sample_ID","sample","rep_id","Strain.Description","Strain","Base.Media","Carbon.Source..g.L.","Nitrogen.Source..g.L.","Electron.Acceptor","Trace.Element.Mixture","Supplement","Temperature..C.","pH","Culture.Type","Growth.Rate..1.hr."
"ecoli_00507","tcs__wt_LiAcet__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","Acetoacetate/LiCl(10mM)",37,7,"Batch",NA
"ecoli_00508","tcs__wt_LiAcet__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","Acetoacetate/LiCl(10mM)",37,7,"Batch",NA
"ecoli_00509","tcs__wt_LiCl__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","LiCl(10mM)",37,7,"Batch",NA
"ecoli_00510","tcs__wt_LiCl__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","LiCl(10mM)",37,7,"Batch",NA
"ecoli_00511","tcs__wt_m9p__1",1,"Escherichia coli K-12 MG1655","MG1655","M9P","glucose(4)","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00512","tcs__wt_m9p__2",2,"Escherichia coli K-12 MG1655","MG1655","M9P","glucose(4)","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00513","tcs__wt_pyr__1",1,"Escherichia coli K-12 MG1655","MG1655","01xLB","","","O2","","Pyruvate(100uM)",37,7,"Batch",NA
"ecoli_00514","tcs__wt_pyr__2",2,"Escherichia coli K-12 MG1655","MG1655","01xLB","","","O2","","Pyruvate(100uM)",37,7,"Batch",NA
"ecoli_00515","tcs__wt_zncl2__1",1,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","ZnCl2(1mM)",37,7,"Batch",NA
"ecoli_00516","tcs__wt_zncl2__2",2,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","ZnCl2(1mM)",37,7,"Batch",NA
"ecoli_00797","adnB__wt_adn__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(.2%)","NH4Cl(1)","O2","","adenosine()",37,7,"Batch",NA
"ecoli_00798","adnB__wt_adn__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(.2%)","NH4Cl(1)","O2","","adenosine()",37,7,"Batch",NA
"ecoli_00818","ytf2__wt_glc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose?","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00819","ytf2__wt_glc__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose?","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00834","ytf3__wt_glc2__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00835","ytf3__wt_glc2__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00836","ytf3__wt_pH7_lactate__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","lactic acid(5)",37,7,"Batch",NA
"ecoli_00837","ytf3__wt_pH7_lactate__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","lactic acid(5)",37,7,"Batch",NA
"ecoli_00838","ytf3__wt_pH55_lactate__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","lactic acid(5)",37,5.5,"Batch",NA
"ecoli_00839","ytf3__wt_pH55_lactate__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","lactic acid(5)",37,5.5,"Batch",NA
"ecoli_00840","ytf3__wt_pH55_HCl__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","HCl(3)",37,5.5,"Batch",NA
"ecoli_00841","ytf3__wt_pH55_HCl__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose","NH4Cl(1)","O2","sauer trace element mixture","HCl(3)",37,5.5,"Batch",NA
