"sample_ID","sample","rep_id","Strain.Description","Strain","Base.Media","Carbon.Source..g.L.","Nitrogen.Source..g.L.","Electron.Acceptor","Trace.Element.Mixture","Supplement","Temperature..C.","pH","Culture.Type","Growth.Rate..1.hr."
"ecoli_00075","minspan__wt_trp__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","L-tryptophan (20mg/L)",37,7,"Batch",NA
"ecoli_00082","cra_crp__wt_ac__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","acetate(2)","NH4Cl(1)","O2","aebersold trace element mixture","",37,7,"Batch",0.25
"ecoli_00083","cra_crp__wt_ac__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","acetate(2)","NH4Cl(1)","O2","aebersold trace element mixture","",37,7,"Batch",0.25
"ecoli_00084","cra_crp__wt_fru__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","fructose(2)","NH4Cl(1)","O2","aebersold trace element mixture","",37,7,"Batch",0.53
"ecoli_00085","cra_crp__wt_fru__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","fructose(2)","NH4Cl(1)","O2","aebersold trace element mixture","",37,7,"Batch",0.53
"ecoli_00092","rpoB__wt_031__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","",37,7,"Chemostat",NA
"ecoli_00093","rpoB__wt_044__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","",37,7,"Chemostat",NA
"ecoli_00094","rpoB__wt_lb__1",1,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","",37,7,"Batch",1.42
"ecoli_00095","rpoB__wt_lb__2",2,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","",37,7,"Batch",1.42
"ecoli_00105","crp__wt_fru__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","fructose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00106","crp__wt_glyc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glycerol(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00107","crp__wt_glyc__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glycerol(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00132","42c__wt_42c__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","",42,7,"Batch",0.82
"ecoli_00142","ssw__wt_ac__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","acetate(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.27
"ecoli_00143","ssw__wt_glc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.73
"ecoli_00144","ssw__wt_glyc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glycerol(2.5)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.45
"ecoli_00145","ssw__wt_xyl__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","xylose(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.55
"ecoli_00169","ica__wt_glc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.58
"ecoli_00170","ica__wt_glc__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.58
"ecoli_00171","ica__wt_glc__3",3,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.66
"ecoli_00172","ica__wt_glc__4",4,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",0.66
"ecoli_00173","ica__arg_sbt__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","sorbitol(4)","NH4Cl(1)","O2","sauer trace element mixture","L-arginine (5.75mM)",37,7,"Batch",0.27
"ecoli_00174","ica__arg_sbt__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","sorbitol(4)","NH4Cl(1)","O2","sauer trace element mixture","L-arginine (5.75mM)",37,7,"Batch",0.27
