"Node","Sector","TRorNon_TR","SRorNon_SR"
"proW","out","Non-TR","Non-SR"
"tdcE","out","Non-TR","Non-SR"
"rpoZ","out","Non-TR","Non-SR"
"yifB","out","Non-TR","Non-SR"
"metI","out","Non-TR","Non-SR"
"rrfC","out","Non-TR","Non-SR"
"yjaZ","out","Non-TR","Non-SR"
"nupG","out","Non-TR","Non-SR"
"tatC","out","Non-TR","Non-SR"
"luxS","out","Non-TR","Non-SR"
"argE","out","Non-TR","Non-SR"
"glyX","out","Non-TR","Non-SR"
"mlaD","out","Non-TR","Non-SR"
"glvC","out","Non-TR","Non-SR"
"der","out","Non-TR","Non-SR"
"lyxK","out","Non-TR","Non-SR"
"ibpB","out","Non-TR","Non-SR"
"yhcC","out","Non-TR","Non-SR"
"livM","out","Non-TR","Non-SR"
"ortT","out","Non-TR","Non-SR"
"dkgB","out","Non-TR","Non-SR"
"yfeS","out","Non-TR","Non-SR"
"ykgM","out","Non-TR","Non-SR"
"nfsA","out","Non-TR","Non-SR"
"ybdK","out","Non-TR","Non-SR"
"uxaC","out","Non-TR","Non-SR"
"tcyJ","out","Non-TR","Non-SR"
"tauA","out","Non-TR","Non-SR"
"bioF","out","Non-TR","Non-SR"
"ldcC","out","Non-TR","Non-SR"
"fucO","out","Non-TR","Non-SR"
"ddpB","out","Non-TR","Non-SR"
"aaeA","out","Non-TR","Non-SR"
"yohJ","out","Non-TR","Non-SR"
"ycgV","out","Non-TR","Non-SR"
"tpx","out","Non-TR","Non-SR"
"aroG","out","Non-TR","Non-SR"
"paaZ","out","Non-TR","Non-SR"
"yncE","out","Non-TR","Non-SR"
"ybhM","out","Non-TR","Non-SR"
"moaD","out","Non-TR","Non-SR"
"flgB","out","Non-TR","Non-SR"
"aroE","out","Non-TR","Non-SR"
"NarP","out","TR","SR"
"fepE","out","Non-TR","Non-SR"
"prmB","out","Non-TR","Non-SR"
"rplI","out","Non-TR","Non-SR"
"HipB","out","TR","Non-SR"
"leuU","out","Non-TR","Non-SR"
"ccmF","out","Non-TR","Non-SR"
"dsbG","out","Non-TR","Non-SR"
"era","out","Non-TR","Non-SR"
"yccT","out","Non-TR","Non-SR"
"trpD","out","Non-TR","Non-SR"
"YefM","out","TR","Non-SR"
"glxK","out","Non-TR","Non-SR"
"prfC","out","Non-TR","Non-SR"
"speG","out","Non-TR","Non-SR"
"yebB","out","Non-TR","Non-SR"
"gadC","out","Non-TR","Non-SR"
"phoA","out","Non-TR","Non-SR"
"fadA","out","Non-TR","Non-SR"
"ulaF","out","Non-TR","Non-SR"
"polA","out","Non-TR","Non-SR"
"rrfB","out","Non-TR","Non-SR"
"yghG","out","Non-TR","Non-SR"
"garR","out","Non-TR","Non-SR"
"malH","out","Non-TR","Non-SR"
"aspV","out","Non-TR","Non-SR"
"ymjC","out","Non-TR","Non-SR"
"recA","out","Non-TR","Non-SR"
"bepA","out","Non-TR","Non-SR"
"mlaE","out","Non-TR","Non-SR"
"rdgB","out","Non-TR","Non-SR"
"hofC","out","Non-TR","Non-SR"
"eutQ","out","Non-TR","Non-SR"
"arfB","out","Non-TR","Non-SR"
"hyfE","out","Non-TR","Non-SR"
"osmF","out","Non-TR","Non-SR"
"dcp","out","Non-TR","Non-SR"
"zinT","out","Non-TR","Non-SR"
"ybcV","out","Non-TR","Non-SR"
"ydbK","out","Non-TR","Non-SR"
"mscM","out","Non-TR","Non-SR"
"hycE","out","Non-TR","Non-SR"
"yjeM","out","Non-TR","Non-SR"
"RspR","out","TR","Non-SR"
"yagK","out","Non-TR","Non-SR"
"pncB","out","Non-TR","Non-SR"
"rplP","out","Non-TR","Non-SR"
"purH","out","Non-TR","Non-SR"
"micA","out","Non-TR","Non-SR"
"cheZ","out","Non-TR","Non-SR"
"yoaH","out","Non-TR","Non-SR"
"znuC","out","Non-TR","Non-SR"
"allA","out","Non-TR","Non-SR"
"cyuA","out","Non-TR","Non-SR"
"pheP","out","Non-TR","Non-SR"
"yifL","out","Non-TR","Non-SR"
"ybjP","out","Non-TR","Non-SR"
"ybfE","out","Non-TR","Non-SR"
"yoaE","out","Non-TR","Non-SR"
"bcp","out","Non-TR","Non-SR"
"tynA","out","Non-TR","Non-SR"
"mnmA","out","Non-TR","Non-SR"
"citG","out","Non-TR","Non-SR"
"sufD","out","Non-TR","Non-SR"
"clpP","out","Non-TR","Non-SR"
"potG","out","Non-TR","Non-SR"
"glmZ","out","Non-TR","Non-SR"
"rpmH","out","Non-TR","Non-SR"
"yihO","out","Non-TR","Non-SR"
"NagC","out","TR","SR"
"apt","out","Non-TR","Non-SR"
"atpH","out","Non-TR","Non-SR"
"rpsT","out","Non-TR","Non-SR"
"yejG","out","Non-TR","Non-SR"
"mdtM","out","Non-TR","Non-SR"
"yqeJ","out","Non-TR","Non-SR"
"artI","out","Non-TR","Non-SR"
"ddpA","out","Non-TR","Non-SR"
"yjgM","out","Non-TR","Non-SR"
"hyaD","out","Non-TR","Non-SR"
"rrfD","out","Non-TR","Non-SR"
"csgC","out","Non-TR","Non-SR"
"azoR","out","Non-TR","Non-SR"
"leuD","out","Non-TR","Non-SR"
"hyaF","out","Non-TR","Non-SR"
"creA","out","Non-TR","Non-SR"
"rclA","out","Non-TR","Non-SR"
"arcB","out","Non-TR","Non-SR"
"yehR","out","Non-TR","Non-SR"
"nanT","out","Non-TR","Non-SR"
"raiZ","out","Non-TR","Non-SR"
"sdhX","out","Non-TR","Non-SR"
"csgB","out","Non-TR","Non-SR"
"ybbY","out","Non-TR","Non-SR"
"bacA","out","Non-TR","Non-SR"
"valT","out","Non-TR","Non-SR"
"ilvN","out","Non-TR","Non-SR"
"speD","out","Non-TR","Non-SR"
"prpB","out","Non-TR","Non-SR"
"nlpD","out","Non-TR","Non-SR"
"baeS","out","Non-TR","Non-SR"
"araE","out","Non-TR","Non-SR"
"ptsI","out","Non-TR","Non-SR"
"bglF","out","Non-TR","Non-SR"
"GlcC","out","TR","SR"
"gspM","out","Non-TR","Non-SR"
"CynR","out","TR","SR"
"inaA","out","Non-TR","Non-SR"
"shoB","out","Non-TR","Non-SR"
"ileX","out","Non-TR","Non-SR"
"hydN","out","Non-TR","Non-SR"
"mipA","out","Non-TR","Non-SR"
"AidB","out","TR","Non-SR"
"trmA","out","Non-TR","Non-SR"
"narI","out","Non-TR","Non-SR"
"potF","out","Non-TR","Non-SR"
"chbF","out","Non-TR","Non-SR"
"pfkA","out","Non-TR","Non-SR"
"purA","out","Non-TR","Non-SR"
"rplO","out","Non-TR","Non-SR"
"gatY","out","Non-TR","Non-SR"
"TdcR","out","TR","SR"
"rprA","out","Non-TR","Non-SR"
"nikA","out","Non-TR","Non-SR"
"pck","out","Non-TR","Non-SR"
"rutF","out","Non-TR","Non-SR"
"ulaB","out","Non-TR","Non-SR"
"cysT","out","Non-TR","Non-SR"
"leuP","out","Non-TR","Non-SR"
"btuB","out","Non-TR","Non-SR"
"waaJ","out","Non-TR","Non-SR"
"appA","out","Non-TR","Non-SR"
"yiaK","out","Non-TR","Non-SR"
"flgC","out","Non-TR","Non-SR"
"trpL","out","Non-TR","Non-SR"
"yqeH","out","Non-TR","Non-SR"
"nikD","out","Non-TR","Non-SR"
"hisM","out","Non-TR","Non-SR"
"ftsQ","out","Non-TR","Non-SR"
"ascB","out","Non-TR","Non-SR"
"betA","out","Non-TR","Non-SR"
"atpI","out","Non-TR","Non-SR"
"mukF","out","Non-TR","Non-SR"
"eutA","out","Non-TR","Non-SR"
"chaC","out","Non-TR","Non-SR"
"metG","out","Non-TR","Non-SR"
"eutM","out","Non-TR","Non-SR"
"casE","out","Non-TR","Non-SR"
"ykgH","out","Non-TR","Non-SR"
"caiC","out","Non-TR","Non-SR"
"GcvA","out","TR","SR"
"adiA","out","Non-TR","Non-SR"
"glgS","out","Non-TR","Non-SR"
"ampE","out","Non-TR","Non-SR"
"ilvM","out","Non-TR","Non-SR"
"ydeN","out","Non-TR","Non-SR"
"rpsA","out","Non-TR","Non-SR"
"potH","out","Non-TR","Non-SR"
"yobA","out","Non-TR","Non-SR"
"brnQ","out","Non-TR","Non-SR"
"ebgA","out","Non-TR","Non-SR"
"gspE","out","Non-TR","Non-SR"
"ybhD","out","Non-TR","Non-SR"
"tyrA","out","Non-TR","Non-SR"
"yjhI","out","Non-TR","Non-SR"
"dppD","out","Non-TR","Non-SR"
"lpxP","out","Non-TR","Non-SR"
"ulaA","out","Non-TR","Non-SR"
"rluE","out","Non-TR","Non-SR"
"ydhU","out","Non-TR","Non-SR"
"yihQ","out","Non-TR","Non-SR"
"trg","out","Non-TR","Non-SR"
"envC","out","Non-TR","Non-SR"
"argZ","out","Non-TR","Non-SR"
"pdxJ","out","Non-TR","Non-SR"
"flgD","out","Non-TR","Non-SR"
"nadE","out","Non-TR","Non-SR"
"hpf","out","Non-TR","Non-SR"
"agaS","out","Non-TR","Non-SR"
"ygiF","out","Non-TR","Non-SR"
"moaA","out","Non-TR","Non-SR"
"yjaH","out","Non-TR","Non-SR"
"pgaA","out","Non-TR","Non-SR"
"citF","out","Non-TR","Non-SR"
"dapA","out","Non-TR","Non-SR"
"fldB","out","Non-TR","Non-SR"
"ygaM","out","Non-TR","Non-SR"
"zwf","out","Non-TR","Non-SR"
"arsB","out","Non-TR","Non-SR"
"PrpR","out","TR","SR"
"ddlA","out","Non-TR","Non-SR"
"nagA","out","Non-TR","Non-SR"
"tyrU","out","Non-TR","Non-SR"
"pgaD","out","Non-TR","Non-SR"
"puuC","out","Non-TR","Non-SR"
"yihS","out","Non-TR","Non-SR"
"osmY","out","Non-TR","Non-SR"
"yhdN","out","Non-TR","Non-SR"
"UvrY","out","TR","SR"
"hfq","out","Non-TR","Non-SR"
"LysR","out","TR","SR"
"BluR","out","TR","Non-SR"
"nirD","out","Non-TR","Non-SR"
"cysP","out","Non-TR","Non-SR"
"flgJ","out","Non-TR","Non-SR"
"carA","out","Non-TR","Non-SR"
"yeiB","out","Non-TR","Non-SR"
"ychE","out","Non-TR","Non-SR"
"codA","out","Non-TR","Non-SR"
"narH","out","Non-TR","Non-SR"
"ytfT","out","Non-TR","Non-SR"
"yehE","out","Non-TR","Non-SR"
"malG","out","Non-TR","Non-SR"
"CaiF","out","TR","SR"
"gpsA","out","Non-TR","Non-SR"
"pheT","out","Non-TR","Non-SR"
"waaB","out","Non-TR","Non-SR"
"chiQ","out","Non-TR","Non-SR"
"fimG","out","Non-TR","Non-SR"
"rrlG","out","Non-TR","Non-SR"
"TreR","out","TR","SR"
"aroH","out","Non-TR","Non-SR"
"srlD","out","Non-TR","Non-SR"
"cadA","out","Non-TR","Non-SR"
"dld","out","Non-TR","Non-SR"
"rapA","out","Non-TR","Non-SR"
"MelR","out","TR","SR"
"rffM","out","Non-TR","Non-SR"
"pflB","out","Non-TR","Non-SR"
"kdpF","out","Non-TR","Non-SR"
"ydeA","out","Non-TR","Non-SR"
"lgt","out","Non-TR","Non-SR"
"purK","out","Non-TR","Non-SR"
"pyrF","out","Non-TR","Non-SR"
"rseP","out","Non-TR","Non-SR"
"rluA","out","Non-TR","Non-SR"
"pal","out","Non-TR","Non-SR"
"deaD","out","Non-TR","Non-SR"
"thrC","out","Non-TR","Non-SR"
"lpxC","out","Non-TR","Non-SR"
"fepD","out","Non-TR","Non-SR"
"MazE","out","TR","Non-SR"
"gspK","out","Non-TR","Non-SR"
"malP","out","Non-TR","Non-SR"
"mdh","out","Non-TR","Non-SR"
"ilvE","out","Non-TR","Non-SR"
"accA","out","Non-TR","Non-SR"
"IdnR","out","TR","SR"
"prlC","out","Non-TR","Non-SR"
"nuoJ","out","Non-TR","Non-SR"
"mraY","out","Non-TR","Non-SR"
"uof","out","Non-TR","Non-SR"
"fucA","out","Non-TR","Non-SR"
"yhfA","out","Non-TR","Non-SR"
"ybdZ","out","Non-TR","Non-SR"
"sgcA","out","Non-TR","Non-SR"
"yghS","out","Non-TR","Non-SR"
"hyaA","out","Non-TR","Non-SR"
"hyfI","out","Non-TR","Non-SR"
"ynbA","out","Non-TR","Non-SR"
"entH","out","Non-TR","Non-SR"
"codB","out","Non-TR","Non-SR"
"cas2","out","Non-TR","Non-SR"
"nrdH","out","Non-TR","Non-SR"
"ycjF","out","Non-TR","Non-SR"
"fixA","out","Non-TR","Non-SR"
"frlA","out","Non-TR","Non-SR"
"yciN","out","Non-TR","Non-SR"
"ompT","out","Non-TR","Non-SR"
"glcD","out","Non-TR","Non-SR"
"GalS","out","TR","SR"
"manY","out","Non-TR","Non-SR"
"xerD","out","Non-TR","Non-SR"
"scpA","out","Non-TR","Non-SR"
"cobU","out","Non-TR","Non-SR"
"tyrB","out","Non-TR","Non-SR"
"nagE","out","Non-TR","Non-SR"
"gntT","out","Non-TR","Non-SR"
"pgaB","out","Non-TR","Non-SR"
"ravA","out","Non-TR","Non-SR"
"yieF","out","Non-TR","Non-SR"
"paaI","out","Non-TR","Non-SR"
"focA","out","Non-TR","Non-SR"
"smrB","out","Non-TR","Non-SR"
"gltD","out","Non-TR","Non-SR"
"hypE","out","Non-TR","Non-SR"
"AccB","out","TR","Non-SR"
"sgbU","out","Non-TR","Non-SR"
"nanK","out","Non-TR","Non-SR"
"gcl","out","Non-TR","Non-SR"
"pepD","out","Non-TR","Non-SR"
"nadC","out","Non-TR","Non-SR"
"mfd","out","Non-TR","Non-SR"
"ilvB","out","Non-TR","Non-SR"
"ppiD","out","Non-TR","Non-SR"
"trpB","out","Non-TR","Non-SR"
"rfaH","out","Non-TR","Non-SR"
"rrfH","out","Non-TR","Non-SR"
"napD","out","Non-TR","Non-SR"
"yihG","out","Non-TR","Non-SR"
"waaY","out","Non-TR","Non-SR"
"acnA","out","Non-TR","Non-SR"
"glcA","out","Non-TR","Non-SR"
"gntP","out","Non-TR","Non-SR"
"rffH","out","Non-TR","Non-SR"
"lgoR","out","Non-TR","Non-SR"
"grpE","out","Non-TR","Non-SR"
"mobA","out","Non-TR","Non-SR"
"cysS","out","Non-TR","Non-SR"
"serC","out","Non-TR","Non-SR"
"btsT","out","Non-TR","Non-SR"
"prpD","out","Non-TR","Non-SR"
"rrsD","out","Non-TR","Non-SR"
"lpxT","out","Non-TR","Non-SR"
"ribE","out","Non-TR","Non-SR"
"thrB","out","Non-TR","Non-SR"
"aphA","out","Non-TR","Non-SR"
"manZ","out","Non-TR","Non-SR"
"oppD","out","Non-TR","Non-SR"
"hycD","out","Non-TR","Non-SR"
"rarA","out","Non-TR","Non-SR"
"fliQ","out","Non-TR","Non-SR"
"hyfB","out","Non-TR","Non-SR"
"pgpB","out","Non-TR","Non-SR"
"dxs","out","Non-TR","Non-SR"
"ydhX","out","Non-TR","Non-SR"
"yjcF","out","Non-TR","Non-SR"
"entF","out","Non-TR","Non-SR"
"hofN","out","Non-TR","Non-SR"
"fbaA","out","Non-TR","Non-SR"
"ribD","out","Non-TR","Non-SR"
"cadB","out","Non-TR","Non-SR"
"ydiM","out","Non-TR","Non-SR"
"rnlB","out","Non-TR","Non-SR"
"ompA","out","Non-TR","Non-SR"
"trhO","out","Non-TR","Non-SR"
"fabI","out","Non-TR","Non-SR"
"fdnH","out","Non-TR","Non-SR"
"ftnA","out","Non-TR","Non-SR"
"yzgL","out","Non-TR","Non-SR"
"elfG","out","Non-TR","Non-SR"
"fruB","out","Non-TR","Non-SR"
"cyoE","out","Non-TR","Non-SR"
"dnaJ","out","Non-TR","Non-SR"
"thrS","out","Non-TR","Non-SR"
"idnK","out","Non-TR","Non-SR"
"fnrS","out","Non-TR","Non-SR"
"GalR","out","TR","SR"
"aceF","out","Non-TR","Non-SR"
"livK","out","Non-TR","Non-SR"
"puuD","out","Non-TR","Non-SR"
"hisR","out","Non-TR","Non-SR"
"hemL","out","Non-TR","Non-SR"
"dctA","out","Non-TR","Non-SR"
"argG","out","Non-TR","Non-SR"
"pdeH","out","Non-TR","Non-SR"
"queA","out","Non-TR","Non-SR"
"znuA","out","Non-TR","Non-SR"
"eutP","out","Non-TR","Non-SR"
"ispH","out","Non-TR","Non-SR"
"alaX","out","Non-TR","Non-SR"
"glmY","out","Non-TR","Non-SR"
"nrdB","out","Non-TR","Non-SR"
"nikC","out","Non-TR","Non-SR"
"mutM","out","Non-TR","Non-SR"
"folK","out","Non-TR","Non-SR"
"yciZ","out","Non-TR","Non-SR"
"yieE","out","Non-TR","Non-SR"
"hslU","out","Non-TR","Non-SR"
"phnJ","out","Non-TR","Non-SR"
"hemN","out","Non-TR","Non-SR"
"yiaO","out","Non-TR","Non-SR"
"araG","out","Non-TR","Non-SR"
"tcyP","out","Non-TR","Non-SR"
"lolB","out","Non-TR","Non-SR"
"yajD","out","Non-TR","Non-SR"
"glgP","out","Non-TR","Non-SR"
"ybhL","out","Non-TR","Non-SR"
"pstS","out","Non-TR","Non-SR"
"tsaE","out","Non-TR","Non-SR"
"lhgD","out","Non-TR","Non-SR"
"thiQ","out","Non-TR","Non-SR"
"rplJ","out","Non-TR","Non-SR"
"tsx","out","Non-TR","Non-SR"
"ldtC","out","Non-TR","Non-SR"
"rfe","out","Non-TR","Non-SR"
"creD","out","Non-TR","Non-SR"
"ykfB","out","Non-TR","Non-SR"
"rutB","out","Non-TR","Non-SR"
"acrE","out","Non-TR","Non-SR"
"bcsE","out","Non-TR","Non-SR"
"ykgO","out","Non-TR","Non-SR"
"hybG","out","Non-TR","Non-SR"
"ybaB","out","Non-TR","Non-SR"
"hisA","out","Non-TR","Non-SR"
"argT","out","Non-TR","Non-SR"
"nudF","out","Non-TR","Non-SR"
"yfgH","out","Non-TR","Non-SR"
"wcaE","out","Non-TR","Non-SR"
"sgbH","out","Non-TR","Non-SR"
"norW","out","Non-TR","Non-SR"
"lacY","out","Non-TR","Non-SR"
"flhE","out","Non-TR","Non-SR"
"dgoT","out","Non-TR","Non-SR"
"ansB","out","Non-TR","Non-SR"
"ubiA","out","Non-TR","Non-SR"
"gpmA","out","Non-TR","Non-SR"
"loiP","out","Non-TR","Non-SR"
"yjgN","out","Non-TR","Non-SR"
"mutY","out","Non-TR","Non-SR"
"rybA","out","Non-TR","Non-SR"
"hemH","out","Non-TR","Non-SR"
"CusR","out","TR","SR"
"ompF","out","Non-TR","Non-SR"
"dut","out","Non-TR","Non-SR"
"rspB","out","Non-TR","Non-SR"
"asnT","out","Non-TR","Non-SR"
"manA","out","Non-TR","Non-SR"
"yaiY","out","Non-TR","Non-SR"
"AaeR","out","TR","Non-SR"
"yeaE","out","Non-TR","Non-SR"
"tfaR","out","Non-TR","Non-SR"
"ddpX","out","Non-TR","Non-SR"
"greB","out","Non-TR","Non-SR"
"fhuA","out","Non-TR","Non-SR"
"fimD","out","Non-TR","Non-SR"
"rplY","out","Non-TR","Non-SR"
"ebgC","out","Non-TR","Non-SR"
"ybgE","out","Non-TR","Non-SR"
"aldB","out","Non-TR","Non-SR"
"trpA","out","Non-TR","Non-SR"
"pphA","out","Non-TR","Non-SR"
"yciF","out","Non-TR","Non-SR"
"ybhS","out","Non-TR","Non-SR"
"livJ","out","Non-TR","Non-SR"
"ydhQ","out","Non-TR","Non-SR"
"metK","out","Non-TR","Non-SR"
"yfdE","out","Non-TR","Non-SR"
"ilvA","out","Non-TR","Non-SR"
"hspQ","out","Non-TR","Non-SR"
"rhaT","out","Non-TR","Non-SR"
"pgpC","out","Non-TR","Non-SR"
"narV","out","Non-TR","Non-SR"
"sibE","out","Non-TR","Non-SR"
"yhiJ","out","Non-TR","Non-SR"
"flhB","out","Non-TR","Non-SR"
"mreB","out","Non-TR","Non-SR"
"xthA","out","Non-TR","Non-SR"
"fliR","out","Non-TR","Non-SR"
"ddpD","out","Non-TR","Non-SR"
"lolC","out","Non-TR","Non-SR"
"ynfE","out","Non-TR","Non-SR"
"ycjX","out","Non-TR","Non-SR"
"valX","out","Non-TR","Non-SR"
"ppsR","out","Non-TR","Non-SR"
"mgtL","out","Non-TR","Non-SR"
"rne","out","Non-TR","Non-SR"
"glpF","out","Non-TR","Non-SR"
"yadM","out","Non-TR","Non-SR"
"hdeA","out","Non-TR","Non-SR"
"rutD","out","Non-TR","Non-SR"
"hybD","out","Non-TR","Non-SR"
"ileY","out","Non-TR","Non-SR"
"galT","out","Non-TR","Non-SR"
"otsA","out","Non-TR","Non-SR"
"citE","out","Non-TR","Non-SR"
"ygeG","out","Non-TR","Non-SR"
"glcE","out","Non-TR","Non-SR"
"ispA","out","Non-TR","Non-SR"
"skp","out","Non-TR","Non-SR"
"yfeX","out","Non-TR","Non-SR"
"yjeJ","out","Non-TR","Non-SR"
"queE","out","Non-TR","Non-SR"
"cysM","out","Non-TR","Non-SR"
"flgA","out","Non-TR","Non-SR"
"panC","out","Non-TR","Non-SR"
"dmsC","out","Non-TR","Non-SR"
"paaF","out","Non-TR","Non-SR"
"ybeZ","out","Non-TR","Non-SR"
"araF","out","Non-TR","Non-SR"
"serT","out","Non-TR","Non-SR"
"mrp","out","Non-TR","Non-SR"
"ppsA","out","Non-TR","Non-SR"
"rplV","out","Non-TR","Non-SR"
"ydiP","out","Non-TR","Non-SR"
"gltA","out","Non-TR","Non-SR"
"ybaT","out","Non-TR","Non-SR"
"gspA","out","Non-TR","Non-SR"
"waaL","out","Non-TR","Non-SR"
"gloA","out","Non-TR","Non-SR"
"MalI","out","TR","Non-SR"
"wcaA","out","Non-TR","Non-SR"
"rcnB","out","Non-TR","Non-SR"
"putP","out","Non-TR","Non-SR"
"rpsS","out","Non-TR","Non-SR"
"iscS","out","Non-TR","Non-SR"
"yjjP","out","Non-TR","Non-SR"
"aer","out","Non-TR","Non-SR"
"hcaF","out","Non-TR","Non-SR"
"sulA","out","Non-TR","Non-SR"
"acrD","out","Non-TR","Non-SR"
"yeiP","out","Non-TR","Non-SR"
"isrC","out","Non-TR","Non-SR"
"yjfN","out","Non-TR","Non-SR"
"cysG","out","Non-TR","Non-SR"
"hflX","out","Non-TR","Non-SR"
"lpxA","out","Non-TR","Non-SR"
"emrY","out","Non-TR","Non-SR"
"AraC","out","TR","SR"
"TdcA","out","TR","SR"
"thrL","out","Non-TR","Non-SR"
"artJ","out","Non-TR","Non-SR"
"uspF","out","Non-TR","Non-SR"
"fau","out","Non-TR","Non-SR"
"uspB","out","Non-TR","Non-SR"
"hchA","out","Non-TR","Non-SR"
"yceB","out","Non-TR","Non-SR"
"MetJ","out","TR","SR"
"yciE","out","Non-TR","Non-SR"
"ssuE","out","Non-TR","Non-SR"
"kbp","out","Non-TR","Non-SR"
"guaA","out","Non-TR","Non-SR"
"sucC","out","Non-TR","Non-SR"
"dgcJ","out","Non-TR","Non-SR"
"ygjI","out","Non-TR","Non-SR"
"hofP","out","Non-TR","Non-SR"
"nth","out","Non-TR","Non-SR"
"hpt","out","Non-TR","Non-SR"
"gltV","out","Non-TR","Non-SR"
"rsmJ","out","Non-TR","Non-SR"
"ydfR","out","Non-TR","Non-SR"
"flgG","out","Non-TR","Non-SR"
"dgcC","out","Non-TR","Non-SR"
"acrA","out","Non-TR","Non-SR"
"mdtA","out","Non-TR","Non-SR"
"recX","out","Non-TR","Non-SR"
"deoC","out","Non-TR","Non-SR"
"dppF","out","Non-TR","Non-SR"
"PaaX","out","TR","SR"
"spoT","out","Non-TR","Non-SR"
"hyfA","out","Non-TR","Non-SR"
"leuZ","out","Non-TR","Non-SR"
"agaV","out","Non-TR","Non-SR"
"murI","out","Non-TR","Non-SR"
"UidR","out","TR","SR"
"cmk","out","Non-TR","Non-SR"
"ygaP","out","Non-TR","Non-SR"
"bcsB","out","Non-TR","Non-SR"
"sixA","out","Non-TR","Non-SR"
"wecB","out","Non-TR","Non-SR"
"araD","out","Non-TR","Non-SR"
"FrlR","out","TR","SR"
"fumC","out","Non-TR","Non-SR"
"queD","out","Non-TR","Non-SR"
"kdsB","out","Non-TR","Non-SR"
"gatB","out","Non-TR","Non-SR"
"cyoA","out","Non-TR","Non-SR"
"safA","out","Non-TR","Non-SR"
"mreD","out","Non-TR","Non-SR"
"ppdD","out","Non-TR","Non-SR"
"alsE","out","Non-TR","Non-SR"
"yeiW","out","Non-TR","Non-SR"
"leuX","out","Non-TR","Non-SR"
"mntS","out","Non-TR","Non-SR"
"pabA","out","Non-TR","Non-SR"
"chbB","out","Non-TR","Non-SR"
"cusA","out","Non-TR","Non-SR"
"kdsC","out","Non-TR","Non-SR"
"ybbC","out","Non-TR","Non-SR"
"puuE","out","Non-TR","Non-SR"
"rirA","out","Non-TR","Non-SR"
"dgoK","out","Non-TR","Non-SR"
"betB","out","Non-TR","Non-SR"
"udp","out","Non-TR","Non-SR"
"degS","out","Non-TR","Non-SR"
"ygaZ","out","Non-TR","Non-SR"
"ytfB","out","Non-TR","Non-SR"
"uidC","out","Non-TR","Non-SR"
"ZntR","out","TR","SR"
"purE","out","Non-TR","Non-SR"
"RcnR","out","TR","SR"
"wzb","out","Non-TR","Non-SR"
"fliO","out","Non-TR","Non-SR"
"bcsZ","out","Non-TR","Non-SR"
"dgcT","out","Non-TR","Non-SR"
"tadA","out","Non-TR","Non-SR"
"rpsU","out","Non-TR","Non-SR"
"leuV","out","Non-TR","Non-SR"
"wcaB","out","Non-TR","Non-SR"
"bamD","out","Non-TR","Non-SR"
"alaT","out","Non-TR","Non-SR"
"fabA","out","Non-TR","Non-SR"
"yafN","out","Non-TR","Non-SR"
"efp","out","Non-TR","Non-SR"
"ubiI","out","Non-TR","Non-SR"
"fepG","out","Non-TR","Non-SR"
"NarL","out","TR","SR"
"nuoG","out","Non-TR","Non-SR"
"clpB","out","Non-TR","Non-SR"
"yegH","out","Non-TR","Non-SR"
"rfbB","out","Non-TR","Non-SR"
"dctR","out","Non-TR","Non-SR"
"ydgI","out","Non-TR","Non-SR"
"ybgS","out","Non-TR","Non-SR"
"alaC","out","Non-TR","Non-SR"
"iscU","out","Non-TR","Non-SR"
"dmsD","out","Non-TR","Non-SR"
"sbmC","out","Non-TR","Non-SR"
"preT","out","Non-TR","Non-SR"
"rimP","out","Non-TR","Non-SR"
"lldD","out","Non-TR","Non-SR"
"cusC","out","Non-TR","Non-SR"
"yrdD","out","Non-TR","Non-SR"
"ykfH","out","Non-TR","Non-SR"
"essD","out","Non-TR","Non-SR"
"rdcA","out","Non-TR","Non-SR"
"rhaA","out","Non-TR","Non-SR"
"rpmE","out","Non-TR","Non-SR"
"psiF","out","Non-TR","Non-SR"
"oppC","out","Non-TR","Non-SR"
"glnX","out","Non-TR","Non-SR"
"McbR","out","TR","Non-SR"
"treF","out","Non-TR","Non-SR"
"prmC","out","Non-TR","Non-SR"
"amiC","out","Non-TR","Non-SR"
"dinG","out","Non-TR","Non-SR"
"nrfF","out","Non-TR","Non-SR"
"ybgA","out","Non-TR","Non-SR"
"HyfR","out","TR","Non-SR"
"UhpA","out","TR","SR"
"npr","out","Non-TR","Non-SR"
"ubiU","out","Non-TR","Non-SR"
"cpxP","out","Non-TR","Non-SR"
"micL","out","Non-TR","Non-SR"
"pntB","out","Non-TR","Non-SR"
"alkB","out","Non-TR","Non-SR"
"dicB","out","Non-TR","Non-SR"
"mdtF","out","Non-TR","Non-SR"
"eno","out","Non-TR","Non-SR"
"aaeB","out","Non-TR","Non-SR"
"ygcP","out","Non-TR","Non-SR"
"glpB","out","Non-TR","Non-SR"
"insC5","out","Non-TR","Non-SR"
"frc","out","Non-TR","Non-SR"
"nrfA","out","Non-TR","Non-SR"
"fliI","out","Non-TR","Non-SR"
"prfB","out","Non-TR","Non-SR"
"iaaA","out","Non-TR","Non-SR"
"purF","out","Non-TR","Non-SR"
"ftsZ","out","Non-TR","Non-SR"
"hypB","out","Non-TR","Non-SR"
"emrD","out","Non-TR","Non-SR"
"rutE","out","Non-TR","Non-SR"
"glsA","out","Non-TR","Non-SR"
"ybjG","out","Non-TR","Non-SR"
"fecR","out","Non-TR","Non-SR"
