"Node","Sector","TRorNon_TR","SRorNon_SR"
"rimK","out","Non-TR","Non-SR"
"rpsF","out","Non-TR","Non-SR"
"sufS","out","Non-TR","Non-SR"
"yjcB","out","Non-TR","Non-SR"
"chiP","out","Non-TR","Non-SR"
"rstB","out","Non-TR","Non-SR"
"yigA","out","Non-TR","Non-SR"
"ygfB","out","Non-TR","Non-SR"
"frlD","out","Non-TR","Non-SR"
"oxc","out","Non-TR","Non-SR"
"udk","out","Non-TR","Non-SR"
"cpdB","out","Non-TR","Non-SR"
"hdeB","out","Non-TR","Non-SR"
"osmB","out","Non-TR","Non-SR"
"hycB","out","Non-TR","Non-SR"
"purM","out","Non-TR","Non-SR"
"caiE","out","Non-TR","Non-SR"
"rcsD","out","Non-TR","Non-SR"
"slyB","out","Non-TR","Non-SR"
"ybhQ","out","Non-TR","Non-SR"
"yjbR","out","Non-TR","Non-SR"
"glyS","out","Non-TR","Non-SR"
"purL","out","Non-TR","Non-SR"
"fhuE","out","Non-TR","Non-SR"
"lysT","out","Non-TR","Non-SR"
"allD","out","Non-TR","Non-SR"
"fliE","out","Non-TR","Non-SR"
"rzpD","out","Non-TR","Non-SR"
"rutA","out","Non-TR","Non-SR"
"yibL","out","Non-TR","Non-SR"
"ryjA","out","Non-TR","Non-SR"
"gltB","out","Non-TR","Non-SR"
"fimE","out","Non-TR","Non-SR"
"AllR","out","TR","SR"
"ygiL","out","Non-TR","Non-SR"
"napA","out","Non-TR","Non-SR"
"appC","out","Non-TR","Non-SR"
"gabT","out","Non-TR","Non-SR"
"secY","out","Non-TR","Non-SR"
"pykA","out","Non-TR","Non-SR"
"yjbF","out","Non-TR","Non-SR"
"ygiC","out","Non-TR","Non-SR"
"oppB","out","Non-TR","Non-SR"
"mqsR","out","Non-TR","Non-SR"
"citX","out","Non-TR","Non-SR"
"nepI","out","Non-TR","Non-SR"
"motR","out","Non-TR","Non-SR"
"hypC","out","Non-TR","Non-SR"
"seqA","out","Non-TR","Non-SR"
"pstA","out","Non-TR","Non-SR"
"yhdT","out","Non-TR","Non-SR"
"yoaC","out","Non-TR","Non-SR"
"rpmA","out","Non-TR","Non-SR"
"yedL","out","Non-TR","Non-SR"
"rihB","out","Non-TR","Non-SR"
"dppB","out","Non-TR","Non-SR"
"yiaD","out","Non-TR","Non-SR"
"MprA","out","TR","SR"
"nagB","out","Non-TR","Non-SR"
"ybjC","out","Non-TR","Non-SR"
"gntU","out","Non-TR","Non-SR"
"yrdA","out","Non-TR","Non-SR"
"recJ","out","Non-TR","Non-SR"
"intZ","out","Non-TR","Non-SR"
"xylA","out","Non-TR","Non-SR"
"yhcD","out","Non-TR","Non-SR"
"ydeQ","out","Non-TR","Non-SR"
"icd","out","Non-TR","Non-SR"
"ydcV","out","Non-TR","Non-SR"
"RtcR","out","TR","Non-SR"
"atpA","out","Non-TR","Non-SR"
"leuB","out","Non-TR","Non-SR"
"dnaG","out","Non-TR","Non-SR"
"gspI","out","Non-TR","Non-SR"
"trpS","out","Non-TR","Non-SR"
"gmhA","out","Non-TR","Non-SR"
"dcyD","out","Non-TR","Non-SR"
"rnr","out","Non-TR","Non-SR"
"metY","out","Non-TR","Non-SR"
"holE","out","Non-TR","Non-SR"
"rpmB","out","Non-TR","Non-SR"
"valU","out","Non-TR","Non-SR"
"phoQ","out","Non-TR","Non-SR"
"rpe","out","Non-TR","Non-SR"
"glpQ","out","Non-TR","Non-SR"
"eda","out","Non-TR","Non-SR"
"xylF","out","Non-TR","Non-SR"
"rplU","out","Non-TR","Non-SR"
"yhiM","out","Non-TR","Non-SR"
"entD","out","Non-TR","Non-SR"
"yecF","out","Non-TR","Non-SR"
"rpsO","out","Non-TR","Non-SR"
"csiE","out","Non-TR","Non-SR"
"recD","out","Non-TR","Non-SR"
"rnd","out","Non-TR","Non-SR"
"yhcA","out","Non-TR","Non-SR"
"hha","out","Non-TR","Non-SR"
"rrsC","out","Non-TR","Non-SR"
"argH","out","Non-TR","Non-SR"
"asnV","out","Non-TR","Non-SR"
"mhpA","out","Non-TR","Non-SR"
"yfeK","out","Non-TR","Non-SR"
"yaiS","out","Non-TR","Non-SR"
"yhbY","out","Non-TR","Non-SR"
"HcaR","out","TR","SR"
"emrB","out","Non-TR","Non-SR"
"pdeR","out","Non-TR","Non-SR"
"lpxL","out","Non-TR","Non-SR"
"rtcB","out","Non-TR","Non-SR"
"ulaG","out","Non-TR","Non-SR"
"zntA","out","Non-TR","Non-SR"
"alkA","out","Non-TR","Non-SR"
"cysD","out","Non-TR","Non-SR"
"mhpB","out","Non-TR","Non-SR"
"gatD","out","Non-TR","Non-SR"
"emrK","out","Non-TR","Non-SR"
"macA","out","Non-TR","Non-SR"
"recO","out","Non-TR","Non-SR"
"ymgC","out","Non-TR","Non-SR"
"yjcH","out","Non-TR","Non-SR"
"ccmG","out","Non-TR","Non-SR"
"xylE","out","Non-TR","Non-SR"
"hisB","out","Non-TR","Non-SR"
"ybjQ","out","Non-TR","Non-SR"
"pqiB","out","Non-TR","Non-SR"
"yibT","out","Non-TR","Non-SR"
"nuoI","out","Non-TR","Non-SR"
"CRP-Sxy","out","TR","Non-SR"
"dapD","out","Non-TR","Non-SR"
"spy","out","Non-TR","Non-SR"
"yeaY","out","Non-TR","Non-SR"
"rhtB","out","Non-TR","Non-SR"
"rplF","out","Non-TR","Non-SR"
"astD","out","Non-TR","Non-SR"
"symE","out","Non-TR","Non-SR"
"yiaL","out","Non-TR","Non-SR"
"bfd","out","Non-TR","Non-SR"
"lsrK","out","Non-TR","Non-SR"
"ackA","out","Non-TR","Non-SR"
"ybeU","out","Non-TR","Non-SR"
"mglA","out","Non-TR","Non-SR"
"wzc","out","Non-TR","Non-SR"
"CsqR","out","TR","SR"
"ssuC","out","Non-TR","Non-SR"
"greA","out","Non-TR","Non-SR"
"flgE","out","Non-TR","Non-SR"
"alaW","out","Non-TR","Non-SR"
"yccE","out","Non-TR","Non-SR"
"phnM","out","Non-TR","Non-SR"
"glpD","out","Non-TR","Non-SR"
"mltD","out","Non-TR","Non-SR"
"katE","out","Non-TR","Non-SR"
"fepC","out","Non-TR","Non-SR"
"cbrA","out","Non-TR","Non-SR"
"rpsE","out","Non-TR","Non-SR"
"purD","out","Non-TR","Non-SR"
"nfuA","out","Non-TR","Non-SR"
"atoA","out","Non-TR","Non-SR"
"yrbG","out","Non-TR","Non-SR"
"ileV","out","Non-TR","Non-SR"
"yghF","out","Non-TR","Non-SR"
"sokB","out","Non-TR","Non-SR"
"rsmG","out","Non-TR","Non-SR"
"valY","out","Non-TR","Non-SR"
"yebF","out","Non-TR","Non-SR"
"metC","out","Non-TR","Non-SR"
"sstT","out","Non-TR","Non-SR"
"yfcO","out","Non-TR","Non-SR"
"deoA","out","Non-TR","Non-SR"
"ves","out","Non-TR","Non-SR"
"yhdV","out","Non-TR","Non-SR"
"sfsA","out","Non-TR","Non-SR"
"pqiC","out","Non-TR","Non-SR"
"mtn","out","Non-TR","Non-SR"
"ftsK","out","Non-TR","Non-SR"
"dkgA","out","Non-TR","Non-SR"
"dacC","out","Non-TR","Non-SR"
"glpK","out","Non-TR","Non-SR"
"flxA","out","Non-TR","Non-SR"
"metE","out","Non-TR","Non-SR"
"alaU","out","Non-TR","Non-SR"
"rpoC","out","Non-TR","Non-SR"
"MngR","out","TR","SR"
"yaaU","out","Non-TR","Non-SR"
"recG","out","Non-TR","Non-SR"
"cysW","out","Non-TR","Non-SR"
"glpA","out","Non-TR","Non-SR"
"yjeV","out","Non-TR","Non-SR"
"rpsJ","out","Non-TR","Non-SR"
"rep","out","Non-TR","Non-SR"
"ynfA","out","Non-TR","Non-SR"
"tsgA","out","Non-TR","Non-SR"
"ydhK","out","Non-TR","Non-SR"
"yciB","out","Non-TR","Non-SR"
"motB","out","Non-TR","Non-SR"
"atoE","out","Non-TR","Non-SR"
"pinR","out","Non-TR","Non-SR"
"cas3","out","Non-TR","Non-SR"
"hslV","out","Non-TR","Non-SR"
"uvrC","out","Non-TR","Non-SR"
"yffB","out","Non-TR","Non-SR"
"ychF","out","Non-TR","Non-SR"
"phnH","out","Non-TR","Non-SR"
"sgcC","out","Non-TR","Non-SR"
"yabQ","out","Non-TR","Non-SR"
"trpE","out","Non-TR","Non-SR"
"eptB","out","Non-TR","Non-SR"
"yqeK","out","Non-TR","Non-SR"
"nfeF","out","Non-TR","Non-SR"
"chbG","out","Non-TR","Non-SR"
"yibN","out","Non-TR","Non-SR"
"ynfF","out","Non-TR","Non-SR"
"dapF","out","Non-TR","Non-SR"
"yceJ","out","Non-TR","Non-SR"
"iscA","out","Non-TR","Non-SR"
"moaE","out","Non-TR","Non-SR"
"dmsB","out","Non-TR","Non-SR"
"yeiH","out","Non-TR","Non-SR"
"ariR","out","Non-TR","Non-SR"
"pqiA","out","Non-TR","Non-SR"
"pspA","out","Non-TR","Non-SR"
"nrfC","out","Non-TR","Non-SR"
"rpsK","out","Non-TR","Non-SR"
"dgcZ","out","Non-TR","Non-SR"
"FadR","out","TR","SR"
"rrlE","out","Non-TR","Non-SR"
"rclC","out","Non-TR","Non-SR"
"dcuA","out","Non-TR","Non-SR"
"ytfQ","out","Non-TR","Non-SR"
"ileS","out","Non-TR","Non-SR"
"yhfL","out","Non-TR","Non-SR"
"tsuA","out","Non-TR","Non-SR"
"mntH","out","Non-TR","Non-SR"
"AlsR","out","TR","SR"
"mgrB","out","Non-TR","Non-SR"
"ybjS","out","Non-TR","Non-SR"
"rrlB","out","Non-TR","Non-SR"
"yhdZ","out","Non-TR","Non-SR"
"rbsC","out","Non-TR","Non-SR"
"rbsD","out","Non-TR","Non-SR"
"ldtB","out","Non-TR","Non-SR"
"dolP","out","Non-TR","Non-SR"
"fumD","out","Non-TR","Non-SR"
"metW","out","Non-TR","Non-SR"
"phnI","out","Non-TR","Non-SR"
