"ID","Term Name","parent","parentTerm","Category","Count","GeneRatio","Bnb","DMenv","DMevo","DMmut"
"GO:0006412","translation","GO:0006412","translation","BP",118,"118/2622","b0023,b0026,b0097,b0118,b0144,b0169,b0170,b0172,b0191,b0194,b0481,b0526,b0528,b0637,b0659,b0852,b0893,b0911,b0912,b0930,b0953,b1089,b1204,b1212,b1237,b1282,b1712,b1716,b1717,b1718,b1719,b1787,b2171,b2184,b2185,b2316,b2400,b2514,b2569,b2597,b2606,b2609,b2619,b2620,b2696,b2697,b2827,b3065,b3162,b3165,b3168,b3170,b3185,b3186,b3203,b3230,b3231,b3287,b3288,b4550,b3294,b3296,b3297,b3298,b3299,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3340,b3341,b3342,b3384,b3407,b3486,b3559,b3560,b3590,b3591,b3636,b3637,b3687,b3703,b3842,b3848,b3936,b3983,b3984,b3985,b3986,b4147,b4155,b4171,b4172,b4173,b4200,b4202,b4203,b4258,b4375,b4391",-0.0342994570972677,0.00288772483829676,-0.00222774424160087
"GO:0051301","cell division","GO:0051301","cell division","BP",82,"82/2622","b0065,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0093,b0094,b0095,b0102,b0174,b0211,b0436,b0438,b0473,b0632,b0633,b0634,b0737,b0738,b0739,b0740,b0742,b0923,b0924,b0956,b0958,b1107,b1174,b1175,b1176,b1193,b1254,b1280,b1731,b1856,b1916,b2134,b2136,b2184,b2314,b2412,b2435,b2472,b2516,b2519,b2549,b2742,b2748,b2777,b2817,b2894,b2910,b2963,b3009,b3017,b3163,b3182,b3189,b3232,b3247,b3251,b3361,b3388,b3462,b3463,b3613,b3641,b3742,b3811,b3865,b3933,b3972,b4142,b4143,b4169,b4206,b4233",-0.123245783811581,-0.070883790555035,-0.0509945244670587
"GO:0008652","cellular amino acid biosynthetic process","GO:0008652","cellular amino acid biosynthetic process","BP",111,"111/2622","b0002,b0003,b0004,b0031,b0032,b0048,b0071,b0072,b0073,b0074,b0077,b0078,b0131,b0159,b0166,b0242,b0243,b0386,b0388,b0507,b0529,b0674,b0754,b0800,b0849,b0870,b0893,b0907,b0908,b1096,b1190,b1260,b1261,b1263,b1524,b1622,b1693,b1761,b1812,b1987,b2019,b2020,b2022,b2024,b2025,b2026,b2290,b2319,b2329,b2379,b2413,b2414,b2421,b2472,b2478,b2551,b2599,b2600,b2601,b2662,b2687,b2764,b2818,b2838,b2870,b2913,b3008,b3117,b3172,b3212,b3213,b3237,b3281,b3359,b3360,b3389,b3433,b3447,b3475,b3572,b3591,b3607,b3616,b3670,b3671,b3712,b3744,b3769,b3770,b3771,b3773,b3774,b3809,b3828,b3829,b3870,b3938,b3939,b3940,b3941,b3957,b3958,b3959,b3960,b4013,b4019,b4024,b4053,b4054,b4243,b4388",0.489398258754494,0.0138424274097231,0.176171384332924
"GO:0000160","phosphorelay signal transduction system","GO:0000160","phosphorelay signal transduction system","BP",58,"58/2622","b0196,b0399,b0400,b0570,b0619,b0620,b0694,b0993,b0995,b1129,b1130,b1221,b1235,b1303,b1323,b1609,b1882,b1883,b1888,b1914,b1968,b1969,b2078,b2079,b2125,b2126,b2193,b2216,b2217,b2340,b2369,b2380,b2381,b2469,b2555,b2556,b2709,b2731,b2786,b3025,b3026,b3210,b3398,b3404,b3405,b3667,b3868,b3869,b3911,b3912,b4003,b4112,b4113,b4124,b4125,b4398,b4399,b4401",-0.0840555500042921,0.0103957914141315,0.000609926158333137
"GO:0009061","anaerobic respiration","GO:0009061","anaerobic respiration","BP",41,"41/2622","b0156,b0723,b0896,b0974,b0993,b0994,b0996,b0997,b1227,b1334,b1590,b1873,b2202,b2203,b2206,b2241,b2242,b2994,b2995,b2996,b2997,b3236,b3365,b3366,b3426,b3518,b3551,b3605,b3892,b3893,b4070,b4071,b4072,b4073,b4123,b4138,b4151,b4152,b4153,b4154,b4380",0.439173731976979,0.534789194207389,0.450440743194196
"GO:0009252","peptidoglycan biosynthetic process","GO:0009252","peptidoglycan biosynthetic process","BP",39,"39/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0149,b0174,b0381,b0632,b0634,b0635,b0819,b0839,b1097,b1105,b1107,b1192,b1278,b1678,b1782,b1990,b2010,b2134,b2328,b2519,b3057,b3147,b3176,b3182,b3189,b3208,b3730,b3967,b3972,b4233",-0.128664653252986,-0.0886101174128488,-0.0859335230790615
"GO:0071555","cell wall organization","GO:0071555","cell wall organization","BP",58,"58/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0110,b0149,b0174,b0211,b0376,b0381,b0433,b0632,b0633,b0634,b0635,b0772,b0819,b0839,b0867,b0920,b1081,b1097,b1107,b1192,b1193,b1325,b1326,b1678,b1856,b1990,b2010,b2126,b2134,b2175,b2380,b2435,b2519,b2558,b2701,b2817,b2963,b3032,b3057,b3182,b3189,b3208,b3730,b3784,b3967,b3972,b4169,b4233,b4392",-0.0874546332776144,-0.0420288622976384,-0.0780270354186053
"GO:0009103","lipopolysaccharide biosynthetic process","GO:0009103","lipopolysaccharide biosynthetic process","BP",32,"32/2622","b0200,b0222,b0815,b0918,b1215,b1236,b1855,b2028,b2042,b2174,b2253,b2254,b2255,b2256,b4544,b2258,b2378,b2708,b3052,b3197,b3198,b3546,b3619,b3620,b3621,b3630,b3631,b3730,b3784,b3785,b3788,b3789",0.00755071376799495,0.118307796951848,-0.0108142099853848
"GO:0006629","lipid metabolic process","GO:0006629","lipid metabolic process","BP",131,"131/2622","b0029,b0039,b0042,b0090,b0096,b0118,b0173,b0174,b0175,b0179,b0180,b0181,b0182,b0185,b0200,b0221,b0222,b0404,b0418,b0419,b0420,b0421,b0443,b0452,b0493,b0494,b0524,b0628,b0630,b0686,b0736,b0789,b0815,b0918,b0954,b1046,b1090,b1091,b1092,b1093,b1094,b1095,b1187,b1208,b1215,b1234,b1236,b1249,b1253,b1278,b1279,b1280,b1539,b1619,b1758,b1805,b1855,b1912,b2028,b2042,b2086,b2174,b2239,b2253,b2254,b2255,b2256,b4544,b2258,b2296,b2316,b2323,b2341,b2342,b2378,b2515,b2533,b2553,b2560,b2563,b2585,b2708,b2746,b2747,b2835,b2836,b2844,b2889,b3018,b3052,b3059,b3081,b4471,b3113,b3114,b3115,b3117,b3187,b3197,b3198,b3209,b3255,b3256,b3353,b3449,b3475,b3546,b3608,b3619,b3620,b3621,b3630,b3631,b3730,b3784,b3785,b3788,b3789,b3821,b3825,b3845,b3846,b3888,b3918,b3963,b4042,b4149,b4160,b4214,b4269,b4377",0.0147517845732143,0.0603043122411986,0.0483704843362184
"GO:0008360","regulation of cell shape","GO:0008360","regulation of cell shape","BP",41,"41/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0149,b0174,b0376,b0381,b0632,b0634,b0635,b0780,b0819,b0839,b1105,b1107,b1192,b1678,b1990,b2010,b2134,b2516,b2519,b2896,b3057,b3147,b3182,b3189,b3208,b3249,b3250,b3251,b3730,b3967,b3972,b4233",-0.118631481483762,-0.0772806683914015,-0.0928102754819933
"GO:0009408","response to heat","GO:0009408","response to heat","BP",52,"52/2622","b0014,b0212,b0424,b0436,b0437,b0439,b0473,b0631,b0659,b0781,b0797,b0881,b0882,b0931,b0935,b0966,b0968,b1132,b1185,b1243,b1304,b1379,b1530,b1833,b2327,b2584,b2592,b2614,b2922,b2936,b3034,b3067,b3153,b3164,b3349,b3400,b3401,b3461,b3686,b3687,b3724,b3871,b3887,b3908,b3931,b3932,b4142,b4143,b4171,b4173,b4174,b4175",0.0671043339109213,0.0364167511645253,0.0611961593412017
"GO:0032259","methylation","GO:0032259","methylation","BP",51,"51/2622","b0082,b0195,b0636,b0661,b0807,b0921,b0948,b0967,b1212,b1335,b1519,b1835,b1884,b1961,b2213,b2232,b2330,b2517,b2532,b2575,b2581,b2607,b2743,b2785,b2806,b2827,b2946,b2960,b3084,b3146,b3179,b3259,b3262,b3289,b3368,b3387,b3465,b3497,b3499,b3606,b3651,b3706,b3740,b3741,b3829,b3833,b3965,b4019,b4180,b4371,b4403",0.00170418862073488,0.0537922984459608,0.0713282106001236
"GO:0006260","DNA replication","GO:0006260","DNA replication","BP",56,"56/2622","b0014,b0060,b0099,b0183,b0184,b0214,b0231,b0397,b0398,b0467,b0640,b0687,b0880,b0892,b0923,b0924,b1099,b1652,b1763,b1842,b1844,b1863,b2009,b2011,b2231,b2234,b2235,b2411,b2496,b2675,b2676,b2798,b2916,b3066,b3149,b3387,b3498,b3647,b3699,b3700,b3701,b3702,b3781,b3813,b3822,b3863,b3935,b4043,b4052,b4059,b4201,b4238,b4259,b4361,b4362,b4372",-0.0224022234279056,-0.0479642010196516,-0.001261962189257
