Name,Bnb
ecpR,b0294
ydiV,b1707
yraP,b3150
crfC,b4109
yjcZ,b4110
yjhB,b4279
yjhC,b4280
insC-5,b3044
insCD-5,NA
insD-5,b3045
insI-1,b0256
yhjC,b3521
3'ETS<sup><i>leuZ</i></sup>,b4759
insD-7,b1578
ydfN,b1547
yedX,b1970
yhcH,b3221
yiaJ,b3574
yhbT,b3157
ydiU,b1706
3'ETS-,b4759
