Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
acrZ,5.25840138,5.458951905,5.458443554,5.353345429,5.48759957,6.135457492,5.370832315,6.119770822,6.189789568,5.007788363,5.502473975,5.642343406,5.113943805,5.469615327,5.613715648,5.653590453
actP,2.935557755,4.700976241,4.549235071,3.487877616,4.485595269,4.800782018,3.02131807,3.577151418,3.589197988,3.864173692,3.200289449,3.717136459,2.950487169,2.364486861,2.947168223,2.702775941
ada,5.119011787,5.347526125,6.129469362,4.471076673,4.80430258,6.171275232,5.522333076,5.258221405,4.357889976,5.337309475,6.309268852,5.475260247,5.197666236,4.616915369,5.680696952,5.487952844
adeD,4.932040667,5.552657401,5.139728186,5.16781908,5.643384639,5.183090306,4.4291147,4.862597519,5.216476924,5.425005842,5.479483621,5.61499078,5.132986824,4.768928719,5.193412012,5.103773054
adeP,6.170794034,6.552969717,6.91502109,7.026393498,6.456969476,7.052866611,5.288951442,6.435039183,7.008328424,6.019369871,6.354115486,4.42182992,6.896776548,6.326320778,5.566961615,5.928257503
adeQ,1.060480815,2.164611678,1.22596748,1.610595009,0.929309878,2.290799277,1.378398172,0.714661604,1.898333132,2.000806291,1.668576982,1.939125295,1.350968182,0.816586199,0.898542758,1.691634964
adhE,10.70567098,10.15829412,9.701441445,9.229020623,9.758213971,9.63434172,11.34600535,10.45822568,10.4071865,10.79066267,10.29334812,11.68934925,10.61209925,12.16429741,11.50951394,11.76592844
adiA,2.428699,2.440723697,2.354831483,2.492715662,2.559664501,2.461071763,2.251488407,2.658645123,2.093137862,2.036776743,2.824642691,2.81137448,3.60027055,1.940295928,2.627996069,3.000254968
adiC,2.195983547,2.63331656,2.268280461,2.228516332,2.961730229,2.717438323,2.527336733,3.844307862,1.461887286,2.173601261,3.194238613,2.549481278,3.449975243,2.101408847,3.043143797,3.592450456
adiY,6.753881104,7.422927462,5.806868971,4.668280529,6.852116616,5.301680183,6.318832151,5.512576493,3.356592116,6.071868748,7.619320265,7.372582802,7.188462339,6.067033288,7.208087175,7.118740465
adk,8.760951808,9.405807679,9.618707016,9.732059992,9.461082687,9.048085786,8.275772722,8.977665631,9.459316062,9.222695296,9.39968018,8.75571124,8.698232684,8.478240455,8.158142892,8.60053713
aegA,3.88781431,3.393968173,3.384098382,3.283486222,3.381156402,3.129746109,4.751610011,3.410530345,3.704854009,3.439029788,3.315575155,2.269808612,4.302552984,4.745983859,5.028019828,5.527051037
aer,4.866791852,3.842143929,6.882064912,5.37424425,5.700435367,5.750740542,4.360993903,5.736904269,3.055952569,2.161926361,2.425470557,2.833255356,4.754152448,7.463642516,4.474960561,3.488577401
