Original_Name,Prom,ORF,Prom_ORF,Cel,Replicate,Name
hypA_fis_463c.CEL,hypA,fis,hypA_fis,463c.CEL,rep3,hypA_fis_rep3
csgD_rpoS_529a.CEL,csgD,rpoS,csgD_rpoS,529a.CEL,rep1,csgD_rpoS_rep1
csgD_rpoS_529b.CEL,csgD,rpoS,csgD_rpoS,529b.CEL,rep2,csgD_rpoS_rep2
csgD_rpoS_529c.CEL,csgD,rpoS,csgD_rpoS,529c.CEL,rep3,csgD_rpoS_rep3
hypA_fecI_52a.CEL,hypA,fecI,hypA_fecI,52a.CEL,rep1,hypA_fecI_rep1
hypA_fecI_52b.CEL,hypA,fecI,hypA_fecI,52b.CEL,rep2,hypA_fecI_rep2
hypA_fecI_52c.CEL,hypA,fecI,hypA_fecI,52c.CEL,rep3,hypA_fecI_rep3
csgD_rpoH_530a.CEL,csgD,rpoH,csgD_rpoH,530a.CEL,rep1,csgD_rpoH_rep1
csgD_rpoH_530b.CEL,csgD,rpoH,csgD_rpoH,530b.CEL,rep2,csgD_rpoH_rep2
csgD_rpoH_530c.CEL,csgD,rpoH,csgD_rpoH,530c.CEL,rep3,csgD_rpoH_rep3
csgD_rpoN_538a.CEL,csgD,rpoN,csgD_rpoN,538a.CEL,rep1,csgD_rpoN_rep1
csgD_rpoN_538b.CEL,csgD,rpoN,csgD_rpoN,538b.CEL,rep2,csgD_rpoN_rep2
csgD_rpoN_538c.CEL,csgD,rpoN,csgD_rpoN,538c.CEL,rep3,csgD_rpoN_rep3
hypA_hns_53a.CEL,hypA,hns,hypA_hns,53a.CEL,rep1,hypA_hns_rep1
hypA_hns_53b.CEL,hypA,hns,hypA_hns,53b.CEL,rep2,hypA_hns_rep2
hypA_hns_53c.CEL,hypA,hns,hypA_hns,53c.CEL,rep3,hypA_hns_rep3
hypA_fliA_54a.CEL,hypA,fliA,hypA_fliA,54a.CEL,rep1,hypA_fliA_rep1
hypA_fliA_54b.CEL,hypA,fliA,hypA_fliA,54b.CEL,rep2,hypA_fliA_rep2
hypA_fliA_54c.CEL,hypA,fliA,hypA_fliA,54c.CEL,rep3,hypA_fliA_rep3
hypA_crp_55a.CEL,hypA,crp,hypA_crp,55a.CEL,rep1,hypA_crp_rep1
hypA_crp_55b.CEL,hypA,crp,hypA_crp,55b.CEL,rep2,hypA_crp_rep2
hypA_crp_55c.CEL,hypA,crp,hypA_crp,55c.CEL,rep3,hypA_crp_rep3
ihfB_fhlA_563a.CEL,ihfB,fhlA,ihfB_fhlA,563a.CEL,rep1,ihfB_fhlA_rep1
ihfB_fhlA_563b.CEL,ihfB,fhlA,ihfB_fhlA,563b.CEL,rep2,ihfB_fhlA_rep2
ihfB_fhlA_563c.CEL,ihfB,fhlA,ihfB_fhlA,563c.CEL,rep3,ihfB_fhlA_rep3
csgD_fhlA_572a.CEL,csgD,fhlA,csgD_fhlA,572a.CEL,rep1,csgD_fhlA_rep1
csgD_fhlA_572b.CEL,csgD,fhlA,csgD_fhlA,572b.CEL,rep2,csgD_fhlA_rep2
csgD_fhlA_572c.CEL,csgD,fhlA,csgD_fhlA,572c.CEL,rep3,csgD_fhlA_rep3
lrp_arcA_5a.CEL,lrp,arcA,lrp_arcA,5a.CEL,rep1,lrp_arcA_rep1
lrp_arcA_5b.CEL,lrp,arcA,lrp_arcA,5b.CEL,rep2,lrp_arcA_rep2
lrp_arcA_5c.CEL,lrp,arcA,lrp_arcA,5c.CEL,rep3,lrp_arcA_rep3
rpoS_rpoS_67a.CEL,rpoS,rpoS,rpoS_rpoS,67a.CEL,rep1,rpoS_rpoS_rep1
