regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
CPLX0-7748,EG10020,b3912,cpxR,G6543@G6544@G6545@G6546@EG10671@G6548@G6547@EG11489@EG10670@EG11618@EG11617@EG12136@G7115@G7114@G7113@EG11070@EG11712@G0-16649@G7816@EG10163@EG10020@EG11297@EG11831@EG10757@G7851@EG10897@EG11034@EG10950@G7610@G7609@EG11665@G7395@G7396@EG10952@EG11058@G0-16690@G7347@G7348@EG12341@EG11897@G0-8878@G7033@G0-17103@EG10149@EG10146@EG10602@EG10601@EG11806@G6939@EG11435@EG11434@EG11599@G0-8863@EG11643@G7840@EG10775@G6525@G6571@EG11113@EG11253@EG10079@EG12429@EG10439@G6242@G6227@EG10928@EG10545@EG11284@EG10316@EG10455@EG10463@EG10014,G6543@G6544@G6545@G6546@EG10671@G6548@G6547@EG11489@EG11034@EG10952@EG11058@G0-16690@G7347@G7348@EG12341@EG11897@G0-8878@G0-17103@EG10149@EG10146@EG10602@EG10601@G7840@EG10775@G6525,EG10670@EG11618@EG11617@EG12136@G7115@G7114@G7113@EG11070@EG11712@G0-16649@G7816@EG10163@EG10020@EG11297@EG11831@EG10757@G7851@EG10897@EG10950@G7610@G7609@EG11665@G7395@G7396@G7033@EG11806@G6939@EG11435@EG11434@EG11599@G0-8863@EG11643@G6571@EG11113@EG11253@EG10079@EG12429@EG10439@G6242@G6227@EG10928@EG10545@EG11284@EG10316@EG10455@EG10463@EG10014,DNA-binding transcriptional dual regulator CpxR-phosphorylated,CpxR,TF
PC00061,EG10338,b0080,cra,EG10164@G6966@EG10174@EG10173@G6543@G6544@G6545@G6546@EG10109@EG10110@EG10111@EG10112@EG10754@EG12440@EG11015@EG10756@EG12298@EG12297@EG12296@G7546@G7129@EG11221@EG11435@EG11434@EG11599@EG10182@EG10181@EG10180@EG10179@EG10178@G6200@G6199@G6198@G6196@EG11088@EG10024@EG10025@EG10543@G0-10617@EG11754@G0-9941@EG10567@EG10568@EG10569@EG10084@EG10367@EG12957@EG10256@EG10257@EG10615@EG10616@EG11965@EG10282@EG10703@EG10368@EG11551@EG11236@EG10258@EG10336@EG10337@G7990@EG10759@EG10804@EG10489@EG10788@EG10789@EG10165@EG12316@EG11325@EG10031@EG10699@EG10688@EG10023@EG10022@EG10026@EG10653@EG10655@EG10654@EG10188,G6966@EG12440@EG11015@EG10756@EG12298@EG12297@EG12296@G7546@G7129@EG11221@EG11435@EG11434@EG11599@EG10182@EG10181@EG10180@EG10179@EG10178@G6200@G6199@G6198@G6196@EG11088@EG10024@EG10025@EG10543@G0-10617@EG11754@G0-9941@EG10567@EG10568@EG10569@EG10367@EG12957@EG10256@EG10257@EG10615@EG10616@EG11965@EG10282@EG10703@EG10368@EG11551@EG11236@EG10258@EG10336@EG10337@G7990@EG10804@EG10788@EG10789@EG10165@EG12316@EG10031@EG10699@EG10653@EG10655@EG10654@EG10188,EG10164@EG10174@EG10173@G6543@G6544@G6545@G6546@EG10109@EG10110@EG10111@EG10112@EG10754@EG10084@EG10759@EG10489@EG10788@EG10789@EG10165@EG11325@EG10688@EG10023@EG10022@EG10026,DNA-binding transcriptional dual regulator Cra,Cra,TF
PHOSPHO-CREB,EG11218,b4398,creB,EG10829@EG11726@EG11714@EG12633@G7580@G7579@G7578@EG10687@EG20173@EG10027@EG11797@G0-17082@EG10556@EG10555@EG10554@EG10145,G0-17082@EG10556@EG10555@EG10554,EG10829@EG11726@EG11714@EG12633@G7580@G7579@G7578@EG10687@EG20173@EG10027@EG11797@EG10145,DNA-binding transcriptional regulator CreB-phosphorylated,CreB,TF
CPLX0-226,EG10164,b3357,crp,G7872@G7727@G7726@G7724@G7723@EG12908@EG10155@G7912@G7911@G7910@G0-17009@EG10933@EG10979@EG10980@EG10981@EG10982@EG10356@EG20044@EG12634@EG11225@EG10095@G6749@G0-10451@G6671@EG12557@G0-10241@EG12556@G7915@EG12554@G7914@G7913@G6756@G7440@G7489@G6736@G6358@EG11646@EG12033@G6193@G7464@G6839@G6838@G7789@EG20051@EG20049@GB4478@EG20053@EG11076@EG11849@G7945@G7944@EG12739@G0-16690@G7347@G7348@EG12341@EG11897@EG11124@G0-8874@EG10937@EG20091@EG10688@G0-17083@G6371@G6370@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG11111@G7961@EG10905@EG10764@EG10917@EG10870@EG10908@EG10874@G0-17078@EG11151@EG50004@G6646@EG11822@EG10036@EG12431@G6645@G6542@EG10358@G7942@EG10566@G0-8899@EG11810@EG10371@EG11442@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@G7350@EG12179@EG10435@EG10436@EG10437@EG10438@EG12409@EG11460@EG10041@EG10042@G6570@G6423@G372@G6097@G0-10511@G6422@G7688@G7687@G7686@G7685@EG12035@G6569@EG12137@EG12354@G6098@EG11546@EG10525@G6201@EG11065@G36@G0-10654@G0-10653@EG11018@EG10086@EG10085@G7739@G7738@G7737@G7736@EG12107@EG12106@EG11798@G7264@G7263@EG11892@G6798@G6799@G0-8878@EG11289@G7145@EG10230@EG10949@G7826@EG11533@G7595@EG10956@EG11784@EG10787@EG12440@EG10372@EG10954@G7675@G7676@G7677@G436@EG10637@EG10369@EG20098@EG10589@G6414@M014@G6205@M013@M012@M011@M010@EG10944@EG11031@G6200@G6199@G6198@G6196@EG11330@EG10361@EG11329@EG12387@G7394@EG11942@EG11943@EG11448@EG10635@EG10114@EG10115@EG10116@G7891@EG12539@G7892@G7893@EG12152@EG12734@G81@G7748@G7747@EG12563@EG10367@G7860@G7859@G7858@EG12495@EG12494@G7856@G6866@EG11658@EG11055@EG20249@G0-16680@EG12241@EG12240@EG11544@EG10068@G7919@G7920@G7921@EG10167@EG12148@G6195@EG10033@G7546@EG10137@EG10035@EG11866@EG11867@EG11868@EG11402@EG12127@EG10420@EG10421@EG11435@EG11434@EG11599@EG12380@EG11035@EG12292@EG11054@G0-9384@EG11530@EG12766@G7633@G7632@G7631@EG10576@EG10402@EG10182@EG10181@EG10180@EG10179@EG10178@EG10262@EG10293@EG11971@EG10252@EG10253@EG12738@EG11517@EG10398@EG10396@EG12417@EG12416@EG12415@EG12414@G7128@EG12419@EG10567@EG10568@EG10569@EG10742@EG10615@EG10616@EG11965@EG10423@EG10577@EG10578@EG11143@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG10664@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG10282@EG10703@EG10368@EG10510@EG10961@EG10563@EG10564@EG10352@EG10349@EG10350@EG10355@EG10353@EG11316@EG10319@EG10320@EG10351@EG10348@EG11045@G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973@EG11157@EG10056@EG10046@EG10953@EG10843@EG10842@EG10060@EG10059@EG10058@EG10057@EG10562@EG11276@EG11005@EG11006@EG10897@EG10380@EG10377@EG10379@EG10160@EG10164@EG11391@EG11209@EG10261@EG10263@EG10260@EG10259@EG11105@EG10594@EG10592@EG10593@EG11313@EG10819@EG10817@EG10814@EG10816@EG10815@EG10818@G6543@G6544@G6545@G6546@EG10757@EG11612@EG10290@EG10289@EG10288@EG10287@EG10286@G6806@G6805@G6804@G6803@G6802@G6801@G6800@EG10250@EG10249@EG11182@EG12631@EG12629@EG11381@EG10557@EG10403@EG10404@EG11514@EG10359@EG10200@EG11050@EG11048@EG11049@EG11046@EG11047@EG10788@EG10789@EG10165@EG10701@EG11258@EG10932@EG10931@EG10934@EG11565@EG11564@EG11563@EG11562@G6088@G7329@EG11088@EG10024@EG10025@EG10543@EG12427@EG10002@EG10152@EG12198@EG10144@EG10143@EG10142@EG10141@EG10140@EG10269@EG10672@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@EG10416@EG10659@EG20252@EG12275@EG12276@EG20253@EG11075@EG11074@EG10466@EG11408@EG11407@EG10400@EG10397@EG10395@EG12243@EG50009@G6786@EG11490@EG12278@EG20248@EG11066@G6706@EG11072@EG10467@G6619@EG12316@EG11325@EG10357@EG10006@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@EG10802@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150@EG30098@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@G6851@G6852@EG10482@EG10008@EG10946@EG10073@EG10221@EG10219@EG10220@EG10222@EG10170@EG10054@EG10055@EG10052@EG10053@EG10023@EG10022@EG10026@EG10558@EG10528@EG10559@G0-17082@EG10556@EG10555@EG10554@EG10524@EG10526@EG10527@EG10502@EG10494@EG11275@EG10399@EG10401@EG10394@EG10391@EG10392@EG10393@EG10385@EG10387@EG10383@EG11698@EG10363@EG10366@EG10362@EG10365@EG11311@EG10317@EG11249@EG10571@EG10835@EG10681@EG10671@EG10669@EG12360@EG10660@EG10661@EG10653@EG10655@EG10654@EG10188@EG10634@EG10636@EG10632@EG10633@EG11230@EG10280,G6756@EG11849@G6423@EG12739@EG11124@G0-8874@EG10688@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG10908@EG10874@G6646@EG11822@EG10036@EG12431@G6645@G6542@EG10566@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@EG10435@EG10436@EG10437@EG10438@EG12409@EG11460@EG10041@EG10042@G6570@G372@G6097@G6422@G7688@G6569@EG12137@EG12354@G6098@G0-10653@EG11045@EG10557@EG10200@EG10635@EG10221@EG10219@EG10220@EG10222@EG11311@EG10317@EG10634@EG10636@EG10632@EG10633@EG11035@EG11408@EG11407@EG10956@EG10372@EG10954@EG10369@EG10589@EG11031@EG10524@EG10526@EG10527@G0-16680@EG12241@EG12240@EG11544@EG10137@EG11402@EG12127@EG10385@EG10387@EG10383@EG10543@EG11612@EG10742@EG10664@EG10510@EG10961@EG10060@EG10897@EG10164@EG11391@EG11209@EG10757@EG11182@EG10403@EG10404@EG11514@EG10788@EG10789@EG10165@EG10269@EG10672@EG12243@EG50009@G6786@EG11490@EG12278@EG11072@EG10802@EG30098@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@G6852@EG10946@EG10073@EG10170@EG10023@EG10022@EG10026@EG11698@EG10363@EG10366@EG10362@EG10653@EG10655@EG10654@EG10188,G6494@G7872@G7727@G7726@G7724@G7723@EG12908@EG10155@G7912@G7911@G7910@G0-17009@EG10933@EG10979@EG10980@EG10981@EG10982@EG10688@EG10356@EG20044@EG12634@EG11225@EG10095@G6749@G0-10451@G6671@EG12557@G0-10241@EG12556@G7915@EG12554@G7914@G7913@G7440@G7489@G6736@G6358@EG11646@EG12033@G6193@G7464@G6839@G6838@G7789@EG20051@EG20049@GB4478@EG20053@EG11076@EG11849@G6422@G7945@G7944@G0-16690@G7347@G7348@EG12341@EG11897@EG10937@EG20091@G0-17083@G6371@G6370@EG11111@G7961@EG10905@EG10764@EG10917@EG10870@G0-17078@EG11151@EG50004@G6542@EG10358@G7942@EG10566@G0-8899@EG11810@EG10371@EG11442@G7350@EG12179@G6423@G0-10511@G7687@G7686@G7685@EG12035@EG11546@EG10525@G6201@EG11065@G36@G0-10654@EG11018@EG10086@EG10085@G7739@G7738@G7737@G7736@EG12107@EG12106@EG11798@G7264@G7263@EG11892@G6798@G6799@G0-8878@EG11289@G7145@EG10230@EG10949@G7826@EG11533@G7595@EG11784@EG10787@EG12440@G7675@G7676@G7677@G436@EG10637@EG20098@G6414@M014@G6205@M013@M012@M011@M010@EG10944@G6200@G6199@G6198@G6196@EG11330@EG10361@EG11329@EG12387@G7394@EG11942@EG11943@EG11448@EG10635@EG10114@EG10115@EG10116@G7891@EG12539@G7892@G7893@EG12152@EG12734@G81@G7748@G7747@EG12563@EG10367@G7860@G7859@G7858@EG12495@EG12494@G7856@G6866@EG11658@EG11055@EG20249@EG10068@G7919@G7920@G7921@EG10167@EG12148@G6195@EG10033@G7546@EG10137@EG10035@EG11866@EG11867@EG11868@EG10420@EG10421@EG11435@EG11434@EG11599@EG12380@EG11035@EG12292@EG11054@G0-9384@EG11530@EG12766@G7633@G7632@G7631@EG10576@EG10402@EG10182@EG10181@EG10180@EG10179@EG10178@EG10262@EG10293@EG11971@EG10252@EG10253@EG12738@EG11517@EG10398@EG10396@EG12417@EG12416@EG12415@EG12414@G7128@EG12419@EG10567@EG10568@EG10569@EG10615@EG10616@EG11965@EG10423@EG10577@EG10578@EG11143@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG10664@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG10282@EG10703@EG10368@EG10563@EG10564@EG10352@EG10349@EG10350@EG10355@EG10353@EG11316@EG10319@EG10320@EG10351@EG10348@EG11045@G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973@EG11157@EG10056@EG10046@EG10953@EG10897@EG10843@EG10842@EG10060@EG10059@EG10058@EG10057@EG10562@EG11276@EG11005@EG11006@EG10380@EG10377@EG10379@EG10160@EG10164@EG10261@EG10263@EG10260@EG10259@EG11105@EG10594@EG10592@EG10593@EG11313@EG10819@EG10817@EG10814@EG10816@EG10815@EG10818@G6543@G6544@G6545@G6546@EG10757@EG11612@EG10290@EG10289@EG10288@EG10287@EG10286@G6806@G6805@G6804@G6803@G6802@G6801@G6800@EG10250@EG10249@EG11182@EG12631@EG12629@EG11381@EG10557@EG10359@EG10200@EG11050@EG11048@EG11049@EG11046@EG11047@EG10788@EG10789@EG10165@EG10701@EG11258@EG10932@EG10931@EG10934@EG11565@EG11564@EG11563@EG11562@G6088@G7329@EG11088@EG10024@EG10025@EG10543@EG12427@EG10002@EG10152@EG12198@EG10144@EG10143@EG10142@EG10141@EG10140@EG10269@EG10672@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@EG10416@EG10659@EG20252@EG12275@EG12276@EG20253@EG11075@EG11074@EG10466@EG11408@EG11407@EG10400@EG10397@EG10395@EG20248@EG11066@G6706@EG10467@G6619@EG12316@EG11325@EG10357@EG10006@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150@G6851@G6852@EG10482@EG10008@EG10221@EG10219@EG10220@EG10222@EG10054@EG10055@EG10052@EG10053@EG10558@EG10528@EG10559@G0-17082@EG10556@EG10555@EG10554@EG10524@EG10526@EG10527@EG10502@EG10494@EG11275@EG10399@EG10401@EG10394@EG10391@EG10392@EG10393@EG10385@EG10387@EG10383@EG11698@EG10363@EG10366@EG10362@EG10365@EG11311@EG10317@EG11249@EG10571@EG10835@EG10681@EG10671@EG10669@EG12360@EG10660@EG10661@EG10634@EG10636@EG10632@EG10633@EG11230@EG10280,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,CRP,TF
CPLX0-8312,G6494@EG10164,b0959@b3357,sxy@crp,G6494,@G6756@EG11849@G6423@EG12739@EG11124@G0-8874@EG10688@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG10908@EG10874@G6646@EG11822@EG10036@EG12431@G6645@G6542@EG10566@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@EG10435@EG10436@EG10437@EG10438@EG12409@EG11460@EG10041@EG10042@G6570@G372@G6097@G6422@G7688@G6569@EG12137@EG12354@G6098@G0-10653@EG11045@EG10557@EG10200@EG10635@EG10221@EG10219@EG10220@EG10222@EG11311@EG10317@EG10634@EG10636@EG10632@EG10633@EG11035@EG11408@EG11407@EG10956@EG10372@EG10954@EG10369@EG10589@EG11031@EG10524@EG10526@EG10527@G0-16680@EG12241@EG12240@EG11544@EG10137@EG11402@EG12127@EG10385@EG10387@EG10383@EG10543@EG11612@EG10742@EG10664@EG10510@EG10961@EG10060@EG10897@EG10164@EG11391@EG11209@EG10757@EG11182@EG10403@EG10404@EG11514@EG10788@EG10789@EG10165@EG10269@EG10672@EG12243@EG50009@G6786@EG11490@EG12278@EG11072@EG10802@EG30098@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@G6852@EG10946@EG10073@EG10170@EG10023@EG10022@EG10026@EG11698@EG10363@EG10366@EG10362@EG10653@EG10655@EG10654@EG10188,G6494@G7872@G7727@G7726@G7724@G7723@EG12908@EG10155@G7912@G7911@G7910@G0-17009@EG10933@EG10979@EG10980@EG10981@EG10982@EG10688@EG10356@EG20044@EG12634@EG11225@EG10095@G6749@G0-10451@G6671@EG12557@G0-10241@EG12556@G7915@EG12554@G7914@G7913@G7440@G7489@G6736@G6358@EG11646@EG12033@G6193@G7464@G6839@G6838@G7789@EG20051@EG20049@GB4478@EG20053@EG11076@EG11849@G6422@G7945@G7944@G0-16690@G7347@G7348@EG12341@EG11897@EG10937@EG20091@G0-17083@G6371@G6370@EG11111@G7961@EG10905@EG10764@EG10917@EG10870@G0-17078@EG11151@EG50004@G6542@EG10358@G7942@EG10566@G0-8899@EG11810@EG10371@EG11442@G7350@EG12179@G6423@G0-10511@G7687@G7686@G7685@EG12035@EG11546@EG10525@G6201@EG11065@G36@G0-10654@EG11018@EG10086@EG10085@G7739@G7738@G7737@G7736@EG12107@EG12106@EG11798@G7264@G7263@EG11892@G6798@G6799@G0-8878@EG11289@G7145@EG10230@EG10949@G7826@EG11533@G7595@EG11784@EG10787@EG12440@G7675@G7676@G7677@G436@EG10637@EG20098@G6414@M014@G6205@M013@M012@M011@M010@EG10944@G6200@G6199@G6198@G6196@EG11330@EG10361@EG11329@EG12387@G7394@EG11942@EG11943@EG11448@EG10635@EG10114@EG10115@EG10116@G7891@EG12539@G7892@G7893@EG12152@EG12734@G81@G7748@G7747@EG12563@EG10367@G7860@G7859@G7858@EG12495@EG12494@G7856@G6866@EG11658@EG11055@EG20249@EG10068@G7919@G7920@G7921@EG10167@EG12148@G6195@EG10033@G7546@EG10137@EG10035@EG11866@EG11867@EG11868@EG10420@EG10421@EG11435@EG11434@EG11599@EG12380@EG11035@EG12292@EG11054@G0-9384@EG11530@EG12766@G7633@G7632@G7631@EG10576@EG10402@EG10182@EG10181@EG10180@EG10179@EG10178@EG10262@EG10293@EG11971@EG10252@EG10253@EG12738@EG11517@EG10398@EG10396@EG12417@EG12416@EG12415@EG12414@G7128@EG12419@EG10567@EG10568@EG10569@EG10615@EG10616@EG11965@EG10423@EG10577@EG10578@EG11143@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG10664@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG10282@EG10703@EG10368@EG10563@EG10564@EG10352@EG10349@EG10350@EG10355@EG10353@EG11316@EG10319@EG10320@EG10351@EG10348@EG11045@G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973@EG11157@EG10056@EG10046@EG10953@EG10897@EG10843@EG10842@EG10060@EG10059@EG10058@EG10057@EG10562@EG11276@EG11005@EG11006@EG10380@EG10377@EG10379@EG10160@EG10164@EG10261@EG10263@EG10260@EG10259@EG11105@EG10594@EG10592@EG10593@EG11313@EG10819@EG10817@EG10814@EG10816@EG10815@EG10818@G6543@G6544@G6545@G6546@EG10757@EG11612@EG10290@EG10289@EG10288@EG10287@EG10286@G6806@G6805@G6804@G6803@G6802@G6801@G6800@EG10250@EG10249@EG11182@EG12631@EG12629@EG11381@EG10557@EG10359@EG10200@EG11050@EG11048@EG11049@EG11046@EG11047@EG10788@EG10789@EG10165@EG10701@EG11258@EG10932@EG10931@EG10934@EG11565@EG11564@EG11563@EG11562@G6088@G7329@EG11088@EG10024@EG10025@EG10543@EG12427@EG10002@EG10152@EG12198@EG10144@EG10143@EG10142@EG10141@EG10140@EG10269@EG10672@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@EG10416@EG10659@EG20252@EG12275@EG12276@EG20253@EG11075@EG11074@EG10466@EG11408@EG11407@EG10400@EG10397@EG10395@EG20248@EG11066@G6706@EG10467@G6619@EG12316@EG11325@EG10357@EG10006@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150@G6851@G6852@EG10482@EG10008@EG10221@EG10219@EG10220@EG10222@EG10054@EG10055@EG10052@EG10053@EG10558@EG10528@EG10559@G0-17082@EG10556@EG10555@EG10554@EG10524@EG10526@EG10527@EG10502@EG10494@EG11275@EG10399@EG10401@EG10394@EG10391@EG10392@EG10393@EG10385@EG10387@EG10383@EG11698@EG10363@EG10366@EG10362@EG10365@EG11311@EG10317@EG11249@EG10571@EG10835@EG10681@EG10671@EG10669@EG12360@EG10660@EG10661@EG10634@EG10636@EG10632@EG10633@EG11230@EG10280,DNA-binding transcriptional  repressor CRP-Sxy,CRP-Sxy,TF
PD01379,G6546,b1040,csgD,G7039@EG11356@EG11355@G6562@G369@EG11540@EG12703@EG10657@G6498@EG11346@G379@G378@G377@EG11656@EG11654@EG11347@G7650@G7651@EG11256@EG11257@EG10695@G6543@G6544@G6545@G6546@G6548@G6547@EG11489,G7039@EG11356@EG11355@G6562@G369@EG11346@G379@G378@G377@EG11656@EG11654@EG11347@G7650@G7651@EG10695,EG11540@EG12703@EG10657@G6498@EG11256@EG11257@G6543@G6544@G6545@G6546@G6548@G6547@EG11489,DNA-binding transcriptional dual regulator CsgD,CsgD,TF
PD03695,EG10166,b3556,cspA,EG10423@EG10457,,EG10423@EG10457,cold shock protein CspA,CspA,TF
EG11849-MONOMER,EG11849,b3884,csqR,EG11845@EG11846@EG11847@EG11848@EG11849,EG11845@EG11846@EG11847@EG11848@EG11849,,DNA-binding transcriptional dual regulator CsqR,CsqR,TF
CPLX0-7708,G6263,b0487,cueR,G6260@EG12318@EG11595@EG11596@EG11666@EG11597@EG11598,EG11595@EG11596@EG11666@EG11597@EG11598,G6260@EG12318,DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>,CueR,TF
MONOMER0-4180,G6319,b0571,cusR,EG10182@EG10181@EG10180@EG10179@EG10178@G7058@EG12367@G6322@G6321@G6320@G6318@G6319,,EG10182@EG10181@EG10180@EG10179@EG10178@G7058@EG12367@G6322@G6321@G6320@G6318@G6319,DNA-binding transcriptional activator CusR-phosphorylated,CusR,TF
PD00291,EG11421,b0338,cynR,EG11421,EG11421,EG10176@EG10175@EG10177,DNA-binding transcriptional dual regulator CynR,CynR,TF
PC00040,EG10184,b1275,cysB,G6934@G7039@G6640@EG10192@EG10184,EG10184@G6702@EG12358@G6476@G6477@G6478@G6479,G6934@G7039@G6640@EG10192@EG10193@EG10183@EG10198@EG10197@EG10195@G6606@G6994@G7185@EG11643@G6331@G7472@G7071@EG10189@EG10190@EG10191@EG10185@EG10194@EG10186@EG12423@G6219@G6218@G6217,DNA-binding transcriptional dual regulator CysB,CysB,TF
CPLX0-7740,EG10200,b3934,cytR,G6542@EG10221@EG10219@EG10220@EG10222@EG11035@EG10757@EG10664@EG10897@EG11971@EG10137@EG11045@EG10200,G6542@EG10221@EG10219@EG10220@EG10222@EG11035@EG10757@EG10664@EG10897@EG11971@EG10137@EG11045@EG10200,,DNA-binding transcriptional repressor CytR,CytR,TF
CPLX0-8048,EG12694,b3060,ttdR,EG12393@EG11168@EG11169@EG12694,,EG12393@EG11168@EG11169@EG12694,Dan-L-tartrate DNA-binding transcriptional activator,TtdR,TF
CPLX0-7721,G7826,b4124,dcuR,EG10688@EG11225@EG10095@G6346@G6345@EG10333@EG10332@EG10331@EG10330@EG10357@EG10006@EG20044,,EG10688@EG11225@EG10095@G6346@G6345@EG10333@EG10332@EG10331@EG10330@EG10357@EG10006@EG20044,DNA-binding transcriptional activator DcuR-phosphorylated,DcuR,TF
G6247-MONOMER,G6247,b0447,decR,EG12754@G7622,,EG12754@G7622,DNA-binding transcriptional activator DecR,DecR,TF
PD01196,EG10223,b0840,deoR,EG11035@EG10664@EG10221@EG10219@EG10220@EG10222,EG11035@EG10664@EG10221@EG10219@EG10220@EG10222,,DNA-binding transcriptional repressor DeoR,DeoR,TF
CPLX0-8578,G7789,b4479,dgoR,G7789@EG20051@EG20049@GB4478@EG20053,G7789@EG20051@EG20049@GB4478@EG20053,,DNA-binding transcriptional repressor DgoR,DgoR,TF
G6628-MONOMER,G6628,b1201,dhaR,EG12399@G6626@G6627@G6628,G6628,EG12399@G6626@G6627,DNA-binding transcriptional dual regulator DhaR,DhaR,TF
EG10226-MONOMER,EG10226,b1570,dicA,EG10226@EG10228@G6835@G6834@G6837@G6836@EG11304@EG11303@EG10227,EG10228@G6835@G6834@G6837@G6836@EG11304@EG11303@EG10227,EG10226,DNA-binding transcriptional dual regulator DicA,DicA,TF
CPLX0-7787,G6109@G6110,b0225@b0226,yafQ@dinJ,G6110@G6109@EG12179,G6110@G6109@EG12179,,DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,DinJ-YafQ,TF
MONOMER0-160,EG10235,b3702,dnaA,EG10831@EG11062@G0-10642@EG10035@EG10420@EG10421@EG10897@EG10746@EG10828@EG10242@EG10235@EG12360@EG10660@EG10661,EG10831@EG11062@EG12360@EG10660@EG10661@G0-10642@EG10035@EG10420@EG10421@EG10897@EG10828@EG10242@EG10235,EG10828@EG10242@EG10235@EG10746@EG12360@EG10660@EG10661,DnaA-ATP DNA-binding transcriptional dual regulator,DnaA,TF
PHOSPHO-DPIA,G6346,b0620,dpiA,EG10050@EG10576@EG12738@G6346@G6345@G6344@G6343@G6342@G6341@G6340@G6339,EG10050,EG10576@EG12738@G6346@G6345@G6344@G6343@G6342@G6341@G6340@G6339,DNA-binding transcriptional dual regulator DpiA-phosphorylated,DpiA,TF
CPLX0-7714,EG13161,b2364,dsdC,EG13161@EG10250@EG10249,EG13161,EG10250@EG10249,DsdC-D-serine DNA-binding transcriptional dual regulator,DsdC,TF
PD03254,EG10254,b3075,ebgR,EG10252@EG10253,EG10252@EG10253,,DNA-binding transcriptional repressor EbgR,EbgR,TF
EG11741-MONOMER,EG11741,b3264,envR,EG11703@EG11704,EG11703@EG11704,,DNA-binding transcriptional repressor EnvR,EnvR,TF
PD00969,EG10268,b0566,envY,EG10671@EG10670,,EG10671@EG10670,DNA-binding transcriptional activator EnvY,EnvY,TF
PHOSPHO-EVGA,EG11609,b2369,evgA,G7120@G7122@G7234@G7235@G7236@G7238@G7237@G6791@G6789@G6790@EG13283@G7233@G0-16680@EG12241@EG12240@EG11544@EG11610@EG11609@EG10014,,G7120@G7122@G7234@G7235@G7236@G7238@G7237@G6791@G6789@G6790@EG13283@G7233@G0-16680@EG12241@EG12240@EG11544@EG11610@EG11609@EG10014,DNA-binding transcriptional activator EvgA-phosphorylated,EvgA,TF
PD03270,EG12739,b3094,exuR,EG12739@EG11065@EG12734@G81@EG20249@EG12738@EG20248@EG11066,EG12739@EG11065@EG12734@G81@EG20249@EG12738@EG20248@EG11066@G7945@G7944,,DNA-binding transcriptional repressor ExuR,ExuR,TF
EG11394-MONOMER,EG11394,b3963,fabR,EG10274@EG10273,EG10274@EG10273,,DNA-binding transcriptional repressor FabR,FabR,TF
PD01520,EG10281,b1187,fadR,EG10217@EG10276@EG10275@EG11647@EG11528@EG10277@EG11317@EG11318@G6244@G36@EG10274@EG10491@G7212@G7213@G0-9384@EG11530@EG10273@G6105@EG11390@EG10280@EG10278@EG10279,G6244@G36@G7212@G7213@G0-9384@EG11530@G6105@EG11390@EG10280@EG10278@EG10279,EG10217@EG10276@EG10275@EG11647@EG11528@EG10277@EG11317@EG11318@EG10274@EG10491@EG10273@EG10281,DNA-binding transcriptional dual regulator FadR,FadR,TF
G6706-MONOMER,G6706,b1384,feaR,EG13139@G7961,,EG13139@G7961,DNA-binding transcriptional activator FeaR,FeaR,TF
