colnames
gene
X3_ATE1
X3_ATE5
X3_ATE3
X3_ATE4
X5_FOAE4
X5_FOAE6
X5_FOAE3
X5_FOAE2
X5_FUE4
X5_FUE3
X5_FUE1
X5_FUE2
X6_MPE6
X6_MPE3
X6_MPE4
X6_MPE5
ABUE5
ABUE6
ABUE4
ABUE3
AFE3
AFE2
AFE4
AFE6
ATPE3
ATPE1
ATPE5
ATPE6
AZTE3
AZTE6
AZTE5
AZTE4
B_Cl_AlaE4
B_Cl_AlaE1
B_Cl_AlaE2
B_Cl_AlaE6
BSDE5
BSDE4
BSDE2
BSDE6
BZE1
BZE2
BZE6
BZE4
CBPCE5
CBPCE1
CBPCE3
CBPCE2
CCCPE4
CCCPE5
CCCPE6
CCCPE3
CMZE4
CMZE1
CMZE3
CMZE6
CPE6
CPE2
CPE5
CPE3
DCSE4
DCSE2
DCSE3
DCSE5
DVALE6
DVALE2
DVALE1
DVALE5
EDTAE1
EDTAE2
EDTAE6
EDTAE3
EME3
EME6
EME1
EME2
FOSE3
FOSE6
FOSE5
FOSE1
FTDE4
FTDE1
FTDE2
FTDE3
GAHE3
GAHE2
GAHE1
GAHE4
H2O2E3
H2O2E2
H2O2E5
H2O2E6
HSEE4
HSEE2
HSEE3
HSEE1
KME1
KME5
KME6
KME4
KTeE5
KTeE2
KTeE3
KTeE6
LVALE6
LVALE3
LVALE4
LVALE5
MECE5
MECE6
MECE3
MECE2
MMCE6
MMCE4
MMCE1
MMCE5
NFLXE1
NFLXE6
NFLXE5
NFLXE4
NiClE1
NiClE6
NiClE2
NiClE3
NITE3
NITE2
NITE1
NITE5
NMNOE5
NMNOE6
NMNOE1
NMNOE4
NQOE5
NQOE6
NQOE4
NQOE3
NVAE1
NVAE2
NVAE5
NVAE6
PHENE2
PHENE5
PHENE6
PHENE1
PLME3
PLME5
PLME6
PLME1
PMZE1
PMZE4
PMZE6
PMZE2
PSE5
PSE6
PSE2
PSE4
PURE2
PURE3
PURE1
PURE5
RFPE4
RFPE1
RFPE3
RFPE2
SDCE1
SDCE6
SDCE2
SDCE3
SHXE3
SHXE1
SHXE5
SHXE4
SSE2
SSE6
SSE1
SSE4
SXZE2
SXZE4
SXZE1
SXZE5
TETE4
TETE1
TETE2
TETE6
VCME6
VCME2
VCME4
VCME5
M9E1
M9E2
M9E3
M9E4
MDS42_n1
MDS42_n2
MDS42_n3
MDS42_n4
